"family","support_share","corr_psi12_psi23","corr_psi12_psi13","corr_psi23_psi13","slope_psi23_on_psi12","slope_psi13_on_psi12","mean_abs_bt_gap","mean_signed_bt_gap","mean_abs_toep_gap","mean_abs_sst_gap","share_bt_like","share_toep_like"
"WST",0.220527992717342,0.0660375566075652,0.0673125324527824,0.0711172702043482,0.0658783138071252,0.0675790342385668,1.34190256694599,-1.16258550726336,0.738950424539563,0.775096225546456,0.0665570447983743,0.0395021127703079
"SST",0.142922166590806,0.0982731141583744,0.479765121069791,0.47928010181148,0.0977885242467464,0.560817771503057,0.572895603201903,0.139273717809451,0.653925533514912,0.784559401059486,0.177438626982397,0.0791603302194195
"Toeplitz_SST",0.0158170232134729,1,0.680883745902878,0.680883745902878,1,0.839510339315886,0.836701305783622,-0.119429211985336,0,0.949283485321296,0.12189838519102,1
"BT",0.0323167956304051,-0.195875592694787,0.616226943762376,0.646778005878354,-0.20230750500743,0.794638302676047,0.0769230769230772,-0.00224668948073204,0.850751376283294,0.627570302038388,1,0.06073500967118
