"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","sparsity","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","SST",5,4,4,"weak",3.5,6.0025,0.25,0.09,3.5,2.22542372881356,0.738320520402129,0.4,-5942.39017809969,11884.7803561994,0,715.139,1006,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.5,0.5,0.5,0,NA,0,0,0,0,NA,4,4,2,1,1,0.5,0.519581838040256,0.519581838040256,0.519581838040256,3330,6409,0.386019659853331,2474,1
"SST","DC-SBM",5,5,5,"weak",3.5,6.0025,0.25,0.09,3.5,2.22542372881356,1,0,-5550.19821076245,11100.3964215249,0,175.407,1007,1,1,1,0,NA,0.870764285714286,0.6,1,3999.99999999992,0.00194602248800989,1,1,1,0,NA,0.9,0.9,0.9,0,NA,1,1,1,0,NA,0.25,0.25,0.25,0,NA,0.8594,0.5,1,3999.99999999997,0.0025946277234424,0.752875,0.4,1,4000.00000000007,0.0030106393973947,1,1,1,0,NA,0.9,0.9,0.9,0,NA,0.4,0.4,0.4,0,NA,0.1,0.1,0.1,0,NA,8.594,10,4,0.8594,1,0.4,0.39078598763615,0.39078598763615,0.39078598763615,2655,6794,0.39078598763615,2655,1
"SST","WST",3,3,3,"weak",7.5,27.5625,0.25,0.09,7.5,2.63446327683616,1,4.44089209850063e-16,-6190.65380089179,12381.3076017836,0,1054.014,1006,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,1,1,1,0.256871173635535,0.256871173635535,0.256871173635535,1972,7677,0.256871173635535,1972,1
"SST","SST",3,2,2,"weak",7.5,27.5625,0.25,0.09,7.5,2.63446327683616,1,0.666666666666667,-6654.29617709181,13308.5923541836,0,862.059,1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0.245085430828587,0.245085430828587,0.245085430828587,1334,5443,0.245085430828587,1334,1
"SST","DC-SBM",3,3,3.00425,"weak",7.5,27.5625,0.25,0.09,7.5,2.63446327683616,1,4.44089209850063e-16,-6187.63259366925,12375.2651873385,0,121.904,1008,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.9999375,1,1,4000.00000000014,6.24999999999989e-05,1,1,1,0,NA,0.00195833333333333,0,0,3696.21029956934,0.000510079256318098,1,1,1,0,NA,1,1,1,0,NA,0.999875,1,1,4000.00000000037,0.000124999999999994,0.9998125,1,1,3999.99999999988,0.000139740268974959,0.9979375,1,1,3791.07093405003,0.000516569317244453,0.001,0,0,3555.30566132919,0.000264676568204123,1,1.01225,1.0045,1,0.999875,0.9979375,0.256879240703912,0.256871173635535,0.256871173635535,1972.14925,7677.33725,0.256871173635535,1972,1
"SST","WST",5,5,5,"weak",7.5,27.5625,0.25,0.09,7.5,4.06723163841808,1,0,-6684.75648803858,13369.5129760772,0,1047.655,1007,1,1,1,0,NA,0.986592857142857,0.857142857142857,1,3115.82363033634,0.000804061341647007,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,0.700075,0.7,0.7,4000.0000000006,7.49999999999944e-05,0.690675,0.6,0.7,3043.73605213177,0.000569100400397968,1,1,1,0,NA,1,1,1,0,NA,0.6,0.6,0.6,0,NA,0.2,0.2,0.2,0,NA,7.00075,10,6,0.700075,1,0.6,0.318553826782984,0.318553826782984,0.318553826782984,3542,11119,0.300026980843601,3336,1
"SST","SST",5,5,5,"weak",7.5,27.5625,0.25,0.09,7.5,4.06723163841808,1,0,-6900.66958197245,13801.3391639449,0,799.904,1008,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.6,0.6,0.6,0,NA,0.2,0.2,0.2,0,NA,10,10,6,1,1,0.6,0.325478909973919,0.325478909973919,0.325478909973919,3619,11119,0.300026980843601,3336,1
"SST","DC-SBM",5,5,5.01275,"weak",7.5,27.5625,0.25,0.09,7.5,4.06723163841808,1,0,-6669.45262348287,13338.9052469657,0.000564971751412429,176.125,1009,1,1,1,0,NA,0.980703975690048,0.9,1,3949.00000000022,0.000674341741095985,1,1,1,0,NA,0.9974625,1,1,4000.00000000022,0.000353309680549636,0.998886363636364,1,1,3999.99999999976,0.000158133242546815,0.333853535353535,0.333333333333333,0.333333333333333,4000.00000000111,0.000134955907782135,1,1,1,0,NA,0.980703975690048,0.9,1,3949.00000000022,0.000674341741095985,1,1,1,0,NA,0.9974625,1,1,4000.00000000022,0.000353309680549636,0.598725,0.6,0.6,4000.00000000007,0.000178294814872032,0.2000625,0.2,0.2,4000.00000000061,6.24999999999952e-05,10,10.1275,6.06325,1,1,0.5993375,0.300033635750807,0.300026980843601,0.300026980843601,3336.2025,11119.4275,0.300026980843601,3336,1
"SST","WST",3,3,3.003,"strong",1,0.49,1.2,0.09,1,0.465536723163842,0.949562701387519,0.192134052048764,-2699.4606331985,5398.92126639701,0.00338983050847458,494.515,1008,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.9991875,1,1,2854.84795815611,0.000338723355096741,0.999916604119756,1,1,3996.9999999997,8.33958802435191e-05,0.306187974314069,0,1,2817.13383516193,0.00868022575437837,1,1,1,0,NA,1,1,1,0,NA,0.999875,1,1,4000.00000000001,0.000125,0.9990625,1,1,2508.36271447386,0.000394230309415021,0.9978125,1,1,3715.99632545411,0.000650770602505282,0.305375,0,1,2817.89123970354,0.00867025647539371,1,1.0085,1.00275,1,0.999875,0.997875,0.149678808553114,0.148901545972335,0.150040551500406,184.40025,1231.9665,0.150040551500406,185,1
"SST","SST",3,3,3.00025,"strong",1,0.49,1.2,0.09,1,0.465536723163842,0.949562701387519,0.192134052048764,-2698.12233039231,5396.24466078462,0.00338983050847458,337.057,1009,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.999875,1,1,4000.00000000029,0.000124999999999995,1,1,1,0,NA,0.339093413473579,0,1,1146.91333925888,0.013980374458079,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.999875,1,1,4000.00000000029,0.000124999999999995,0.9980625,1,1,2035.87919247282,0.000962829542743341,0.3383125,0,1,1151.31941967764,0.0139442895186534,1,1.00075,0.99825,1,1,0.9980625,0.14963557210668,0.148901545972335,0.150040551500406,184.322,1231.79925,0.150040551500406,185,1
