"gen_model","fit_model","K","K_hat_VI","K_hat_VI_a05","difficulty","rep","ari","vi","elpd_loo","p_loo","looic","pareto_k_max","pareto_k_share","mae_eta","bias_eta","cov_eta","mae_psi","bias_psi","cov_psi","mae_kappa","bias_kappa","cov_kappa","ess_eta","ac_eta","ess_psi","ac_psi","ess_kappa","ac_kappa","time_sec","thetaW_block_mean","thetaW_block_lo","thetaW_block_hi","thetaW_block_ess","thetaW_block_mcse","thetaS_block_mean","thetaS_block_lo","thetaS_block_hi","thetaS_block_ess","thetaS_block_mcse","cyc_block_mean","cyc_block_lo","cyc_block_hi","cyc_block_ess","cyc_block_mcse","thetaW_item_mean","thetaW_item_lo","thetaW_item_hi","thetaW_item_ess","thetaW_item_mcse","thetaS_item_mean","thetaS_item_lo","thetaS_item_hi","thetaS_item_ess","thetaS_item_mcse","prem_block_avg","prem_item_avg"
"SST","WST",6,6,6,"easy",4,0.65416676101704,1.11002336952403,-8989.75838866163,166.686331622134,17979.5167773233,1.87456924880732,0.00808080808080808,0.0834925664675676,1.88741979944423e-17,0.92,NA,NA,NA,0.223476776448172,-0.0787282047645723,0.833333333333333,3705.5546737915,0.21065214995163,194.842326918332,0.50381371742873,1189.02943420203,0.507466922864238,1048.949,1,1,1,0,NA,0.9112,0.75,1,152.198,0.0064,0,0,0,0,NA,1,1,1,0,NA,0.8512,0.5411,1,114.1816,0.0137,14.35,1598.85175
"SST","SST",6,6,6,"easy",4,0.649643942300509,1.18940878203719,-8599.55238001756,174.158591605533,17199.1047600351,1.66421163664241,0.0276767676767677,0.0841355755645635,9.99105854472548e-18,0.91,0.432965767068332,0.432965767068332,0.2,0.248836678074201,-0.0545456018482652,0.416666666666667,3780.38455209615,0.210022968703217,1748.36690335638,0.306416518935747,2464.89491824521,0.274224522931978,874.924999999999,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,20,2000
"SST","DC-SBM",6,2,2,"easy",4,0.625330590655304,2.61152114314603,-310453666.625301,310445046.304777,620907333.250602,Inf,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727.839999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"WST","WST",4,4,4,"easy",5,1,0,-8659.19037253743,108.105512055133,17318.3807450749,0.897282438919326,0.00181818181818182,0.0917148701899097,4.44146130464118e-17,0.88,1.07490340132945,-0.00272765341522036,0.166666666666667,0.289530932006882,-0.024520319431887,0.5,4029.67467746944,0.207679018632387,918.907433326069,0.199327943852629,4168.83107635131,0.191521396866654,929.694,1,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,1,0,NA,0,0,0,0,NA,2,999.94125
"WST","SST",4,3,3,"easy",5,0.665856622114216,0.5,-8388.71330454352,108.04137333845,16777.426609087,3.02801713881327,0.00161616161616162,0.12907482272005,4.88557761954556e-17,0.77,NA,NA,NA,0.21910121010666,-0.000623715052644337,0.6875,4003.7260133563,0.198286633417087,3043.9990129188,0.236078442603951,4136.37408273879,0.204789167700272,758.051,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,2000
"WST","DC-SBM",4,4,4,"easy",5,1,0,-8171.10536414107,207.26217567055,16342.2107282821,0.636557785528219,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.028,1,1,1,0,NA,0.023,0,0.5,4143.7869,0.0016,0,0,0,0,NA,0.9823,0.9606,0.9972,4000,1e-04,0.2659,0.186,0.3397,4000,6e-04,2.092,1365.7925
"WST","WST",5,5,5,"easy",5,0.974608874070274,0.115280431229259,-8381.71588233879,115.553651450389,16763.4317646776,1.05954538609862,0.00242424242424242,0.0902575354473362,-7.10498012420485e-17,0.91,0.644402075149071,-0.103879234680419,0.2,0.224748737052109,-0.0162530703780566,0.44,3991.38738127469,0.18902668958683,1030.69215691325,0.194199986402728,4061.81089694348,0.21041958005595,990.812,1,1,1,0,NA,0.2865,0.2857,0.2857,2607.8329,2e-04,0,0,0,0,NA,1,1,1,0,NA,0.2862,0.262,0.3099,3689.2163,3e-04,7,1399.0735
"WST","SST",5,5,5,"easy",5,0.773010153946937,0.447094410247714,-7988.10828765893,145.039630957206,15976.2165753179,1.59080444270277,0.0096969696969697,0.11723016871921,-7.1049665716777e-17,0.86,NA,NA,NA,0.225781072327537,-0.070760852431222,0.72,2993.0867108067,0.202105171467584,739.398240212172,0.32714195683148,2698.85940314211,0.492998707312798,855.269,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,1,1,1,0,NA,1,1,1,0,NA,10,2000
"WST","DC-SBM",5,5,5,"easy",5,0.974608874070274,0.115280431229259,-7834.39173802549,215.320106198624,15668.783476051,0.751079399325123,0.00101010101010101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619.87,1,1,1,0,NA,0.4597,0.2857,0.5,4000,0.0013,0,0,0,0,NA,0.9976,0.9883,1,4000,1e-04,0.4301,0.3734,0.482,3696.2607,4e-04,9.43075,1724.3475
"WST","WST",6,6,6,"easy",5,1,0,-9017.14023581138,130.073789349467,18034.2804716228,1.04988525694013,0.000808080808080808,0.0849998208693005,-1.11212037842701e-18,0.91,0.223235266843436,-0.0448113589543876,0.866666666666667,0.076886094392017,-0.0148959128827545,0.75,4027.18404373622,0.193172192056643,1093.30074447463,NA,3960.02141100996,0.208510524023384,1054.99,1,1,1,0,NA,0.332,0.2,0.45,2098.4375,0.0014,0,0,0,0,NA,1,1,1,0,NA,0.3311,0.2045,0.458,2156.8102,0.0014,20,2000
