"gen_model","fit_model","K_true","K_hat","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","sparsity","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","SST",5,5,"weak",3.5,6.0025,0.25,0.09,3.5,2.22542372881356,1,0,-5528.8136612239,11057.6273224478,0,407.543,1006,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.899978125,0.9,0.9,4000.00000000009,2.18749999999998e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.8999875,0.9,0.9,4000.00000000007,1.24999999999999e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0025,10.0015,0,1,0.99995,0,0.390786112442057,0.39078598763615,0.39078598763615,2655.003,6794.0055,0.39078598763615,2655,1
"SST","DC-SBM",5,5,"weak",3.5,6.0025,0.25,0.09,3.5,2.22542372881356,1,0,-5562.80448647505,11125.6089729501,0,117.941,1007,1,1,1,0,NA,0.863742857142857,0.6,1,4000.00000000007,0.00191978807254853,1,1,1,0,NA,0.9,0.9,0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.886725,0.7,1,4000.00000000015,0.00151356906567856,1,1,1,0,NA,0.9,0.9,0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6095,10,0,0.86095,1,0,0.542684721813365,0.542684721813365,0.542684721813365,3687,6794,0.39078598763615,2655,1
"SST","WST",3,3,"weak",7.5,27.5625,0.25,0.09,7.5,2.63446327683616,1,4.44089209850063e-16,-6189.6833151269,12379.3666302538,0,577.315,1006,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.256871173635535,0.256871173635535,0.256871173635535,1972,7677,0.256871173635535,1972,1
"SST","SST",3,3,"weak",7.5,27.5625,0.25,0.09,7.5,2.63446327683616,1,4.44089209850063e-16,-6188.68967088533,12377.3793417707,0,488.971,1007,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.256871173635535,0.256871173635535,0.256871173635535,1972,7677,0.256871173635535,1972,1
"SST","DC-SBM",3,3,"weak",7.5,27.5625,0.25,0.09,7.5,2.63446327683616,1,4.44089209850063e-16,-6217.91549169157,12435.8309833831,0,75.6559999999999,1008,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0.618340497590204,0.618340497590204,0.618340497590204,4747,7677,0.256871173635535,1972,1
"SST","WST",5,5,"weak",7.5,27.5625,0.25,0.09,7.5,4.06723163841808,1,0,-6643.05912203737,13286.1182440747,0,577.398,1007,1,1,1,0,NA,0.980175,0.9,1,3772.96221145446,0.000703999326062464,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.980175,0.9,1,3772.96221145446,0.000703999326062464,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,1,1,0,0.300026980843601,0.300026980843601,0.300026980843601,3336,11119,0.300026980843601,3336,1
"SST","SST",5,5,"weak",7.5,27.5625,0.25,0.09,7.5,4.06723163841808,1,0,-6639.63681654556,13279.2736330911,0,441.749,1008,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,1,1,0,0.300026980843601,0.300026980843601,0.300026980843601,3336,11119,0.300026980843601,3336,1
"SST","DC-SBM",5,5,"weak",7.5,27.5625,0.25,0.09,7.5,4.06723163841808,1,0,-6671.55922451893,13343.1184490379,0,120.758,1009,1,1,1,0,NA,0.983,0.9,1,4197.57196943636,0.000639460701578841,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.983,0.9,1,4197.57196943636,0.000639460701578841,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,1,1,0,0.374134364601133,0.374134364601133,0.374134364601133,4160,11119,0.300026980843601,3336,1
"SST","WST",3,3,"strong",1,0.49,1.2,0.09,1,0.465536723163842,0.949562701387519,0.192134052048764,-2700.10416710624,5400.20833421248,0.00621468926553672,251.377,1008,1,1,1,0,NA,0.999875,1,1,3999.99999999985,8.83772956510717e-05,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,0.999875,1,1,3999.99999999985,8.83772956510717e-05,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0025,1.003,0,0.999875,1,0,0.149805088278403,0.148901545972335,0.150040551500406,184.64325,1232.55175,0.150040551500406,185,1
"SST","SST",3,3,"strong",1,0.49,1.2,0.09,1,0.465536723163842,0.949562701387519,0.192134052048764,-2698.83278194293,5397.66556388586,0.00338983050847458,171.434,1009,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.9988875,1,1,3162.36653847315,0.000407262376567712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.9988875,1,1,3162.36653847315,0.000407262376567712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0105,1.0095,0,1,0.99975,0,0.149706601352418,0.148901545972335,0.150040551500406,184.4725,1232.22075,0.150040551500406,185,1
