"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","loo_pointwise_file","rep_id","density"
"SST","WST",4,4,4.01333333333333,"verystrong",5,9,3,0.01,1,3,"5;18;1;16",5,1,0,-2210.9960854579,28.7592836642269,46.5907717122311,2.34923912090929,4421.99217091581,57.5185673284538,0.00128205128205128,1,0.741676796608573,0.133325060061573,780,51.6,1002,1,1,1,0,NA,0.809121621621622,0.5,1,710.803382574821,0.00467619858884476,1,1,1,0,NA,0.751126126126126,0.75,0.75,444,0.000795392163705958,1,1,1,0,NA,0.995495495495496,1,1,444,0.00211503883125632,0.793093337274249,0.763730764656998,0.822820707900706,444,0.000755189646629231,1,1,1,0,NA,0.809121621621622,0.5,1,710.803382574821,0.00467619858884476,1,1,1,0,NA,0.751126126126126,0.75,0.75,444,0.000795392163705958,0.75,0.75,0.75,0,NA,0.746621621621622,0.75,0.75,444,0.00158627912344225,4,4,3,1,1,0.75,1,1,1,0,0,0,0.978611826118224,0.958784164307423,0.994433683242004,0.758405621162754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130047764783546,0.129886506935687,0.129886506935687,206.38,1586.81555555556,444,0.841740226986129,1335,1,"WST",0,0,NA,42.0036695069371,11.337997270098,3.70468156820908,24.1339424754551,8.81590956689249,2.73754424229672,-17.8697270314819,7.26340063763617,2.4602425121489,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260604_214155/loo_pointwise/loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv",1,"kappa_5"
"SST","SST",4,3,3.00888888888889,"verystrong",5,9,3,0.01,1,3,"5;18;1;16",5,0.917300407714773,0.368712037628977,-2252.99975496484,31.1718838667163,50.664021306657,3.33398129604306,4505.99950992968,62.3437677334327,0.0166666666666667,13,1.67868641078882,0.17794763261905,780,63.965,1003,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.896177216362521,0.881731062346135,0.910420541796058,265.565373698179,0.000473772185160993,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,0,0.985412772107836,0.960771094948365,0.998484241019338,0.761774205376056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109531916392897,0.109473684210526,0.109473684210526,156.144444444444,1425.26222222222,446,0.890526315789474,1269,3,"WST",-42.0036695069371,11.337997270098,3.70468156820908,42.0036695069371,11.337997270098,3.70468156820908,24.1339424754551,8.81590956689249,2.73754424229672,-17.8697270314819,7.26340063763617,2.4602425121489,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260604_214155/loo_pointwise/loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv",1,"kappa_5"
"SST","DC-SBM",4,3,3,"verystrong",5,9,3,0.01,1,3,"5;18;1;16",5,1,0.137171707531394,-2235.13002793336,30.8518818351155,52.4208795171454,2.97109882594647,4470.26005586672,61.7037636702311,0.00512820512820513,4,1.45968270135532,0.142699247767313,780,8.41800000000001,1004,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.867355174137991,0.844631748850829,0.88809503919878,243.759356311774,0.000724461066572402,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.948888888888889,0,1,379.811526671029,0.0113126501819433,0.948888888888889,0,1,379.811526671029,0.0113126501819433,1,1,0.948888888888889,1,1,0.948888888888889,1,1,1,0,0,0,0.997900115234146,0.988695573242371,0.999996275720902,0.146712499397008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114723734645844,0.109473684210526,0.124082721814543,166.742222222222,1452.63333333333,450,0.883196721311475,1293,2,"WST",-24.1339424754551,8.81590956689249,2.73754424229672,42.0036695069371,11.337997270098,3.70468156820908,24.1339424754551,8.81590956689249,2.73754424229672,-17.8697270314819,7.26340063763617,2.4602425121489,"output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260604_214155/loo_pointwise/loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv",1,"kappa_5"
