"gen_model","fit_model","K_target","K_true","K_hat","K_p.mean","K_ci_lo","K_ci_hi","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","hyper_source","mu0","sigma0","tau0","a_kappa_prior","b_kappa_prior","a_eta_prior","b_eta_prior","gamma_gn_prior","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","delta_looic_best","delta_looic_best_se","delta_looic_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","looic_wst_minus_sst","looic_wst_minus_sst_se","looic_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","looic_wst_minus_dc","looic_wst_minus_dc_se","looic_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","looic_sst_minus_dc","looic_sst_minus_dc_se","looic_sst_minus_dc_z","rep_id","kappa_sd","density","eta_mean","eta_sd","eta_mode"
"WST","SST",NA,5,5,5.017,5,5,"easy",4,1,1.4,0.0625,3,499,"6;14;7;27;6",4,1,0,-5344.52102405878,46.688299318096,74.9661543957286,3.01868583956282,10689.0420481176,93.3765986361921,0,0,0.682200769334049,0.0912850716512374,1770,1311.166,1022,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.600101729399797,0.6,0.6,983.000000000003,0.000101729399796541,1,1,1,0,NA,0.375254323499491,0.375,0.375,983.000000000021,0.00025432349949135,0.801159257625938,0.790008722610203,0.813287077313194,892.243654430838,0.000195781530015415,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.600101729399797,0.6,0.6,983.000000000003,0.000101729399796541,0.8,0.8,0.8,0,NA,0.300203458799593,0.3,0.3,983.000000000003,0.000203458799593082,10,10,8,1,1,0.8,1,1,1,0,0,0,0.884357004262554,0.843648936214707,0.923968253550153,1.22887878351331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202088509479398,0.202079934747145,0.202079934747145,991.111,4904.339,983,0.61358075040783,3009,3,"DC-SBM",-12.2824902031252,6.09538770359259,2.01504658938856,24.5649804062505,12.1907754071852,2.01504658938856,10.241784661328,6.08642118866536,1.68272690039938,-20.483569322656,12.1728423773307,1.68272690039938,-2.04070554179725,0.820305065917731,2.48773977704767,4.0814110835945,1.64061013183546,2.48773977704767,-12.2824902031252,6.09538770359259,2.01504658938856,24.5649804062505,12.1907754071852,2.01504658938856,4,1,"dense",1,0.1,"GAMMA"
"WST","DC-SBM",NA,5,5,5,5,5,"easy",4,1,1.4,0.0625,3,499,"6;14;7;27;6",4,1,0,-5332.23853385566,46.2644731123917,80.0826950846404,2.96590138369025,10664.4770677113,92.5289462247834,0,0,0.479303485354656,0.0755406378054859,1770,60.0139999999999,1023,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.6128,0.4,0.8,1000,0.00345080687203269,1,1,1,0,NA,0.6,0.6,0.6,0,NA,1,1,1,0,NA,0.375,0.375,0.375,0,NA,0.78585128170602,0.771756727985361,0.799101280884258,1000,0.000222463813927432,1,1,1,0,NA,0.6128,0.4,0.8,1000,0.00345080687203269,1,1,1,0,NA,0.6,0.6,0.6,0,NA,0.8,0.8,0.8,0,NA,0.3,0.3,0.3,0,NA,10,10,8,1,1,0.8,1,1,1,0,0,0,0.865682644242364,0.811816770682664,0.915287553343502,1.29735820215693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202079934747145,0.202079934747145,0.202079934747145,991,4904,1000,0.61358075040783,3009,1,"DC-SBM",0,0,NA,0,0,NA,10.241784661328,6.08642118866536,1.68272690039938,-20.483569322656,12.1728423773307,1.68272690039938,-2.04070554179725,0.820305065917731,2.48773977704767,4.0814110835945,1.64061013183546,2.48773977704767,-12.2824902031252,6.09538770359259,2.01504658938856,24.5649804062505,12.1907754071852,2.01504658938856,4,1,"dense",1,0.1,"GAMMA"
"DC-SBM","WST",NA,6,2,4.442,1.975,8,"misspecified",1.6,0.16,0.7,0.04,3,71,"4;6;5;14;10;21",1.6,1,1.63119459766145,-1907.21258738773,51.8016053910218,156.701024081471,7.76954877801641,3814.42517477545,103.603210782044,0.00395480225988701,7,0.873959659691008,0.230936729427943,1770,169.618,1022,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347831300496137,0.283251207729469,0.442497375328084,121.82358974359,346.627692307692,87,0.717488789237668,160,2,"DC-SBM",-53.3303509355148,7.57674751568075,7.03868656374559,106.66070187103,15.1534950313615,7.03868656374559,9.33227695153664,1.64585935337631,5.67015458057972,-18.6645539030733,3.29171870675261,5.67015458057972,-53.3303509355148,7.57674751568075,7.03868656374559,106.66070187103,15.1534950313615,7.03868656374559,-62.6626278870515,8.57271141759072,7.30954593414533,125.325255774103,17.1454228351814,7.30954593414533,5,0.4,"moderate",1,0.1,"GAMMA"
"DC-SBM","SST",NA,6,2,3.622,1,6,"misspecified",1.6,0.16,0.7,0.04,3,71,"4;6;5;14;10;21",1.6,1,1.63119459766145,-1916.54486433926,52.2101846773213,145.316156553304,7.41387116957465,3833.08972867853,104.420369354643,0.00282485875706215,5,1.07197181015138,0.191399261558104,1770,394.195,1023,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342453100931367,0.268483231707317,0.456859499923613,105.937229437229,304.088744588745,153,0.717488789237668,160,3,"DC-SBM",-62.6626278870515,8.57271141759072,7.30954593414533,125.325255774103,17.1454228351814,7.30954593414533,9.33227695153664,1.64585935337631,5.67015458057972,-18.6645539030733,3.29171870675261,5.67015458057972,-53.3303509355148,7.57674751568075,7.03868656374559,106.66070187103,15.1534950313615,7.03868656374559,-62.6626278870515,8.57271141759072,7.30954593414533,125.325255774103,17.1454228351814,7.30954593414533,5,0.4,"moderate",1,0.1,"GAMMA"
"DC-SBM","DC-SBM",NA,6,3,3.227,3,5,"misspecified",1.6,0.16,0.7,0.04,3,71,"4;6;5;14;10;21",1.6,0.666159514139496,1.37860983991425,-1853.88223645221,49.7898691636553,100.233843604981,4.99833744820893,3707.76447290442,99.5797383273106,0.0870056497175141,154,1.34531521121543,0.284146604596532,1770,42.768,1024,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.594074074074074,0,1,675.000000000005,0.018915322341126,1,1,1,0,NA,0.797445255474453,0,1,352.355139066038,0.0214302856771698,0.996415770609319,1,1,557.999999999998,0.00253215681100922,0.906810035842294,0,1,447.39883206237,0.0137557669741765,0.649996494207401,0.598336149039994,0.704376183430434,671.191269678029,0.00105032897606281,0.83539603960396,0,1,808.000000000008,0.0130535783059593,0.496287128712871,0,1,807.999999999991,0.017600348319002,0.678217821782178,0,1,910.057145826566,0.0154953065832798,0.540841584158416,0,1,616.610036146247,0.0200807500754839,0.688118811881188,0,1,547.803435698752,0.0198053646348546,0.626237623762376,0,1,650.190485854138,0.0189852349916181,0.83539603960396,0.678217821782178,0.690594059405941,0.83539603960396,0.678217821782178,0.690594059405941,1,1,1,0,0,0,0.976235536758733,0.865689774358964,0.999985671670428,0.245070955000381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332474471386756,0.315985130111524,0.359902214065276,94.961,285.286,808,0.677777777777778,183,1,"DC-SBM",0,0,NA,0,0,NA,9.33227695153664,1.64585935337631,5.67015458057972,-18.6645539030733,3.29171870675261,5.67015458057972,-53.3303509355148,7.57674751568075,7.03868656374559,106.66070187103,15.1534950313615,7.03868656374559,-62.6626278870515,8.57271141759072,7.30954593414533,125.325255774103,17.1454228351814,7.30954593414533,5,0.4,"moderate",1,0.1,"GAMMA"
"SST","WST",NA,7,5,5.392,4,7,"hard",1.4,0.2025,0.45,0.0144,3,9,"4;4;8;5;3;9;27",1.4,0.64935592041051,1.12269944915127,-3513.15866143774,50.5853638333945,152.460431375354,7.5559269230035,7026.31732287548,101.170727666789,0.00903954802259887,16,1.0959772665433,0.182415792352103,1770,261.153,1023,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.75658692722372,0.3,1,79.7159155753156,0.0250265700685601,0.996757075471698,0.946875,1,204.752775235184,0.00139031552055855,0.77435141509434,0.428571428571429,1,34.4944519981885,0.0371715342243712,0.939588012878107,0.666666666666667,1,285.991099128155,0.00557042293451113,0.500005615453729,0.166666666666667,0.888888888888889,173.832374293542,0.0169347243665089,0.718180414469172,0.665729915713224,0.760065156130159,220.790841246992,0.00160368684790091,0.849292452830189,0.4,1,279.684969852421,0.0102953317306475,0.644103773584906,0.2,1,84.4923640833163,0.0258298635147274,0.850235849056604,0.5,1,197.244782378717,0.0123375382353611,0.675471698113208,0.3,1,57.5779911315146,0.0354020757715214,0.596933962264151,0.3,0.842500000000001,199.254857663656,0.00963597515977339,0.319811320754717,0.1,0.6,162.098665712067,0.0129582209341717,8.49292452830189,8.52830188679245,6.35377358490566,0.849292452830189,0.852830188679245,0.635377358490566,1,1,1,0,0,0,0.950077777684503,0.81972949713607,0.996076431531714,0.91171677660774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20660607085711,0.184865055619324,0.237440823004914,350.45,1687.476,424,0.532656943563729,840,2,"DC-SBM",-9.24314196776095,5.68728281891036,1.6252298790254,18.4862839355219,11.3745656378207,1.6252298790254,7.12033573806275,8.39275673636851,0.848390577938242,-14.2406714761255,16.785513472737,0.848390577938242,-9.24314196776095,5.68728281891036,1.6252298790254,18.4862839355219,11.3745656378207,1.6252298790254,-16.3634777058237,6.04852256750385,2.70536771967054,32.7269554116474,12.0970451350077,2.70536771967054,5,0.45,"moderate",1,0.1,"GAMMA"
"SST","SST",NA,7,4,4.047,3,5,"hard",1.4,0.2025,0.45,0.0144,3,9,"4;4;8;5;3;9;27",1.4,0.626694787586623,1.0300169230314,-3520.2789971758,50.7634657033323,132.088326471584,7.42619997273444,7040.55799435161,101.526931406665,0.015819209039548,28,1.32633800148117,0.143006607837879,1770,863.302,1024,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.99738219895288,1,1,158.139406185165,0.00248443210684455,0.954892966360856,0.666666666666667,1,533.485856679649,0.00463842137582462,0.724661424202709,0.25,1,321.408192568158,0.0129532983083633,0.766071408154768,0.742520673209307,0.791395957486037,153.655739406693,0.00115977957079162,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.99738219895288,1,1,158.139406185165,0.00248443210684455,0.698625654450262,0.25,1,764.000000000006,0.00744330478698982,0.514725130890052,0.25,0.75,466.179630051902,0.00881624909031908,4,4,2.95680628272251,1,1,0.739201570680628,1,1,1,0,0,0,0.993660972938475,0.984681807659503,0.998722260162732,0.238851475321987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201790274016516,0.158852344296711,0.217273831059987,338.265,1670.852,764,0.506462984723854,862,3,"DC-SBM",-16.3634777058237,6.04852256750385,2.70536771967054,32.7269554116474,12.0970451350077,2.70536771967054,7.12033573806275,8.39275673636851,0.848390577938242,-14.2406714761255,16.785513472737,0.848390577938242,-9.24314196776095,5.68728281891036,1.6252298790254,18.4862839355219,11.3745656378207,1.6252298790254,-16.3634777058237,6.04852256750385,2.70536771967054,32.7269554116474,12.0970451350077,2.70536771967054,5,0.45,"moderate",1,0.1,"GAMMA"
"SST","DC-SBM",NA,7,5,4.535,4,5,"hard",1.4,0.2025,0.45,0.0144,3,9,"4;4;8;5;3;9;27",1.4,0.769790321531758,0.778969305134614,-3503.91551946998,50.1400653342554,137.381111843036,6.80651467315787,7007.83103893996,100.280130668511,0.00395480225988701,7,1.00331726236896,0.124726765934435,1770,56.3620000000001,1025,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.967877169559412,0.8,1,393.326854242297,0.00304489830184786,1,1,1,0,NA,0.99890520694259,1,1,534.999999999995,0.000773641282648173,0.964399940661623,0.726785714285714,1,353.982118654809,0.00418792399286161,0.460700934579439,0.166666666666667,0.888888888888889,204.554762446242,0.0161401204488908,0.725002049408984,0.698875245026752,0.752861065536378,321.303707025644,0.000775015899894152,0.894579439252336,0.57,1,536.000388868353,0.00668059341417436,0.864299065420561,0.535,1,533.23614818152,0.00662774000476371,0.97981308411215,0.7,1,223.937693579694,0.00502703209433522,0.978878504672897,0.7,1,257.610164975404,0.0048615886090031,0.668971962616822,0.4,0.9,385.190303618122,0.00738067974119851,0.326728971962617,0.1,0.8,310.121209745624,0.011002635713092,8.94579439252336,9.79813084112149,6.91775700934579,0.894579439252336,0.97981308411215,0.691775700934579,0.998317757009346,1,1,0.00197924933289913,0.00346052435613312,0.000319621961913959,0.987991446840601,0.972692039295308,0.996380029128514,0.3737801845326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212373715345923,0.191435720043261,0.226776660469833,364.361,1713.701,535,0.502873563218391,875,1,"DC-SBM",0,0,NA,0,0,NA,7.12033573806275,8.39275673636851,0.848390577938242,-14.2406714761255,16.785513472737,0.848390577938242,-9.24314196776095,5.68728281891036,1.6252298790254,18.4862839355219,11.3745656378207,1.6252298790254,-16.3634777058237,6.04852256750385,2.70536771967054,32.7269554116474,12.0970451350077,2.70536771967054,5,0.45,"moderate",1,0.1,"GAMMA"
"SST","WST",NA,5,5,5.167,5,6,"easy",4,1,0.7,0.0225,3,17,"6;5;5;15;29",4,1,-4.44089209850063e-16,-6072.94991661775,42.4392953909553,94.3270586658242,3.38030878151768,12145.8998332355,84.8785907819106,0.0107344632768362,19,1.37143427036371,0.133911413549158,1770,429.553,1024,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,0.926238377007608,0.714285714285714,1,845.000000000006,0.00287671933471115,1,1,1,0,NA,0.971715976331361,0.9,1,522.530351501392,0.00197142347594133,0.999830938292477,1,1,844.999999999999,0.000169061707523246,0.211710810556964,0,0.5,845.000000000006,0.0032842103199962,0.724477674196342,0.705183911468415,0.74305805589006,645.786246269423,0.000380761014596662,0.98792899408284,0.7,1,262.706197818604,0.00363945541232771,0.915029585798817,0.7,1,455.153705448878,0.00463116507837189,1,1,1,0,NA,0.971715976331361,0.9,1,522.530351501392,0.00197142347594133,0.631479289940828,0.4,0.8,1014.32915349991,0.00282716733325976,0.139644970414201,0,0.3,788.585327951494,0.00258919064966439,9.8792899408284,10,6.31597633136095,0.98792899408284,1,0.631597633136095,1,1,1,0,0,0,0.984254780491502,0.969235702440717,0.99533148759835,0.196461625629281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283508311647209,0.280551258776445,0.287579300943709,1581.713,5578.824,845,0.698980504382043,3908,2,"SST",-5.46374818480308,2.20129877883951,2.48205661009065,10.9274963696062,4.40259755767902,2.48205661009065,-5.46374818480308,2.20129877883951,2.48205661009065,10.9274963696062,4.40259755767902,2.48205661009065,57.9705636098752,10.061424703999,5.76166550119231,-115.94112721975,20.122849407998,5.76166550119231,63.4343117946783,9.91314294518874,6.39901110529891,-126.868623589357,19.8262858903775,6.39901110529891,5,1,"dense",1,0.1,"GAMMA"
"SST","SST",NA,5,5,5.004,5,5,"easy",4,1,0.7,0.0225,3,17,"6;5;5;15;29",4,1,-4.44089209850063e-16,-6067.48616843295,42.2815237081588,84.4915211310752,2.95960331588204,12134.9723368659,84.5630474163176,0.0101694915254237,18,0.950428305481116,0.116283909244991,1770,1284.629,1025,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.978815261044177,0.9,1,587.2235154615,0.00168707009470225,1,1,1,0,NA,0.218813747051699,0,0.5,722.29955058721,0.00359742447820877,0.719764642716549,0.707673581180053,0.731694399370651,832.070156929601,0.000214966063213436,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.978815261044177,0.9,1,587.2235154615,0.00168707009470225,0.631827309236948,0.4,0.8,855.183140467502,0.00293323123884886,0.142971887550201,0,0.3,718.269560177853,0.00275915588670563,10,10,6.31827309236948,1,1,0.631827309236948,1,1,1,0,0,0,0.990822046947465,0.980792839411035,0.997237841683273,0.113310994880416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283189020936259,0.280552024695842,0.285587818696884,1579.586,5577.647,996,0.698980504382043,3908,1,"SST",0,0,NA,0,0,NA,-5.46374818480308,2.20129877883951,2.48205661009065,10.9274963696062,4.40259755767902,2.48205661009065,57.9705636098752,10.061424703999,5.76166550119231,-115.94112721975,20.122849407998,5.76166550119231,63.4343117946783,9.91314294518874,6.39901110529891,-126.868623589357,19.8262858903775,6.39901110529891,5,1,"dense",1,0.1,"GAMMA"
"SST","DC-SBM",NA,5,4,4,4,4,"easy",4,1,0.7,0.0225,3,17,"6;5;5;15;29",4,0.910361592221209,0.593592204575635,-6130.92048022763,42.8275297910181,125.630213755665,4.70258385387222,12261.8409604553,85.6550595820361,0.0163841807909605,29,1.66737846495476,0.118189576475761,1770,46.067,1026,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.993981945837513,1,1,996.999999999997,0.00134531498046603,0.543129388164494,0,1,742.375546284402,0.010404814104441,0.744365569943737,0.720234543335595,0.762642172249883,69.0959518978884,0.00134633164589789,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.735,0.5,1,100.484301631785,0.0176508980220215,0.40625,0,1,748.79410526828,0.00852764789722323,4,4,2.96,1,1,0.74,1,1,1,0,0,0,0.995351362059091,0.986976602041051,0.999429763404608,0.101530299600314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283950333945028,0.277733135620882,0.29022687609075,1585.046,5581.046,1000,0.666845110635261,3737,3,"SST",-63.4343117946783,9.91314294518874,6.39901110529891,126.868623589357,19.8262858903775,6.39901110529891,-5.46374818480308,2.20129877883951,2.48205661009065,10.9274963696062,4.40259755767902,2.48205661009065,57.9705636098752,10.061424703999,5.76166550119231,-115.94112721975,20.122849407998,5.76166550119231,63.4343117946783,9.91314294518874,6.39901110529891,-126.868623589357,19.8262858903775,6.39901110529891,5,1,"dense",1,0.1,"GAMMA"
"WST","WST",NA,9,1,3.124,2,5,"hard",1.4,0.2025,0.45,0.0225,3,53,"4;3;5;4;12;8;7;14;3",1.4,1,2.95533361476473,-4042.10038892988,47.2534134207829,133.253425902945,5.77856176211122,8084.20077785976,94.5068268415657,0.0152542372881356,27,1.03954222931577,0.210037950301072,1770,211.009,1025,"fixed",0,1.5,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377592707997317,0.284888698630137,0.43153133452443,410.008196721311,1060.16290983607,24,NA,NA,2,"SST",-1.34690417966385,1.34352003553287,1.00251886391083,2.6938083593277,2.68704007106574,1.00251886391083,-1.34690417966385,1.34352003553287,1.00251886391083,2.6938083593277,2.68704007106574,1.00251886391083,4.42689636729483,4.90624796716505,0.902297722602226,-8.85379273458966,9.81249593433011,0.902297722602226,5.77380054695868,5.26292625015667,1.09707038869998,-11.5476010939174,10.5258525003133,1.09707038869998,5,0.45,"moderate",1,0.1,"GAMMA"
"WST","SST",NA,9,1,3.041,2,5,"hard",1.4,0.2025,0.45,0.0225,3,53,"4;3;5;4;12;8;7;14;3",1.4,1,2.95533361476473,-4040.75348475021,47.2847177362262,121.931070138093,4.62901715316652,8081.50696950043,94.5694354724524,0.00677966101694915,12,1.00436672412546,0.178933471974226,1770,738.729,1026,"fixed",0,1.5,0.5,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382916956237095,0.325396825396825,0.419111208734156,443.877157360406,1142.15025380711,15,NA,NA,1,"SST",0,0,NA,0,0,NA,-1.34690417966385,1.34352003553287,1.00251886391083,2.6938083593277,2.68704007106574,1.00251886391083,4.42689636729483,4.90624796716505,0.902297722602226,-8.85379273458966,9.81249593433011,0.902297722602226,5.77380054695868,5.26292625015667,1.09707038869998,-11.5476010939174,10.5258525003133,1.09707038869998,5,0.45,"moderate",1,0.1,"GAMMA"
"WST","DC-SBM",NA,9,1,1,1,1,"hard",1.4,0.2025,0.45,0.0225,3,53,"4;3;5;4;12;8;7;14;3",1.4,1,2.95533361476473,-4046.52728529717,47.1888543768049,62.9985471131848,2.57413050547262,8093.05457059435,94.3777087536098,0,0,0.484035650063475,0.0738932515719287,1770,21.9920000000002,1027,"fixed",NA,NA,NA,1,1,1,1,0.8,0.75,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,3,"SST",-5.77380054695868,5.26292625015667,1.09707038869998,11.5476010939174,10.5258525003133,1.09707038869998,-1.34690417966385,1.34352003553287,1.00251886391083,2.6938083593277,2.68704007106574,1.00251886391083,4.42689636729483,4.90624796716505,0.902297722602226,-8.85379273458966,9.81249593433011,0.902297722602226,5.77380054695868,5.26292625015667,1.09707038869998,-11.5476010939174,10.5258525003133,1.09707038869998,5,0.45,"moderate",1,0.1,"GAMMA"
