Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\widehat\zeta_W^{blk}$,$\widehat\zeta_S^{blk}$,Block coverage,Violation mean,Violation $\hat z$,$p_{post}(WST)$,$p_{post}(SST)$
WST,10,kappa_0.3,app_sparse_hetero,1,DC-SBM,0.999,0.416,0.952,0.047,0.660,--,--
WST,10,kappa_0.3,app_sparse_hetero,1,SST,1.000,0.416,0.980,0.045,0.477,--,--
WST,10,kappa_0.3,app_sparse_hetero,1,WST,1.000,0.444,0.977,0.054,0.618,--,--
