"part","dataset","gen_model","fit_model","K_true","strength","rep","method","seed","K_hat","K_post_mean","K_post_mode","ari","vi","elpd_loo","looic","ess_K","bk_final","time_sec"
"sim",NA,"SST","SST",5,"strong",1,"default",711788,5,5.24,5,1,0,-4248.99,8497.97,14.6,1,50.1
"sim",NA,"SST","WST",5,"strong",1,"oracle_ruleA",711788,5,5,5,1,0,-4242.75,8485.49,400,60,403.1
"sim",NA,"SST","SST",5,"strong",1,"oracle_ruleA",711788,4,4.34,4,0.7383,0.4,-4444.8,8889.59,2.2,60,56.3
"sim",NA,"SST","WST",5,"strong",1,"spectral_ruleA",711788,3,3.01,3,0.3607,1.6575,-4937.03,9874.06,400,150,8444.7
"sim",NA,"SST","SST",5,"strong",1,"spectral_ruleA",711788,3,3.02,3,0.3738,1.7877,-4935.12,9870.25,264.4,150,48.5
"sim",NA,"SST","WST",5,"strong",1,"calibrate_full",711788,5,5.29,5,1,0,-4240.62,8481.24,126.3,0.88,419.4
"sim",NA,"SST","SST",5,"strong",1,"calibrate_full",711788,5,5.35,5,1,0,-4240.18,8480.36,110.7,0.88,46.4
"sim",NA,"SST","WST",5,"strong",1,"hierarchical",711788,5,5.45,5,1,0,-4242.56,8485.11,12.1,0.52,554.6
"sim",NA,"SST","SST",5,"strong",1,"hierarchical",711788,5,5.5,5,1,0,-4250.31,8500.63,10.7,0.37,50.2
"sim",NA,"SST","WST",5,"strong",1,"no_moves",711788,4,4,4,0.7383,0.4,-4404.46,8808.91,0,60,265.1
"sim",NA,"SST","SST",5,"strong",1,"no_moves",711788,5,5,5,0.7667,0.4656,-4489.63,8979.27,0,60,46.2
"sim",NA,"SST","DCSBM",5,"strong",1,"dcsbm_varK",711788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188999999998487
"sim",NA,"WST","WST",3,"weak",1,"default",234672,2,2.03,2,0.4867,1.2344,-5111.53,10223.07,54.7,1,151.1
"sim",NA,"WST","SST",3,"weak",1,"default",234672,2,2.66,3,0.4934,1.1545,-5114.15,10228.31,9.5,1,43.9
"sim",NA,"WST","WST",3,"weak",1,"oracle_ruleA",234672,2,2.06,2,0.4762,1.9261,-5155.86,10311.72,158.6,100,88.7
"sim",NA,"WST","SST",3,"weak",1,"oracle_ruleA",234672,2,2.07,2,0.4609,1.9791,-5161.89,10323.78,7.3,100,40.5
"sim",NA,"WST","WST",3,"weak",1,"spectral_ruleA",234672,2,2,2,0.4498,1.8904,-5159.92,10319.84,0,150,86.4
"sim",NA,"WST","SST",3,"weak",1,"spectral_ruleA",234672,2,2.06,2,0.503,1.756,-5161.66,10323.33,400,150,3086.5
"sim",NA,"WST","WST",3,"weak",1,"calibrate_full",234672,3,3.05,3,0.8513,0.574,-5080.06,10160.13,83.7,0.77,203.8
"sim",NA,"WST","SST",3,"weak",1,"calibrate_full",234672,2,2.35,2,0.4934,1.1545,-5102.05,10204.09,4.1,0.77,39.4
"sim",NA,"WST","WST",3,"weak",1,"hierarchical",234672,2,2.79,3,0.503,1.0485,-5107.11,10214.23,5.9,0.41,152.3
"sim",NA,"WST","SST",3,"weak",1,"hierarchical",234672,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64900000000125
"sim",NA,"WST","WST",3,"weak",1,"no_moves",234672,2,2,2,0.4934,1.9099,-5163.55,10327.1,0,100,79.2
"sim",NA,"WST","SST",3,"weak",1,"no_moves",234672,2,2,2,0.4616,2.0971,-5163.04,10326.07,0,100,40.5
"sim",NA,"WST","DCSBM",3,"weak",1,"dcsbm_varK",234672,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207999999998719
"sim",NA,"SST","WST",3,"weak",1,"default",307487,3,3.28,3,0.815,0.5007,-4623.38,9246.77,15.1,1,208.6
"sim",NA,"SST","SST",3,"weak",1,"default",307487,3,3.49,3,0.9018,0.3175,-4616.76,9233.51,18.9,1,41.9
"sim",NA,"SST","WST",3,"weak",1,"oracle_ruleA",307487,2,2.04,2,0.4867,1.7051,-4748.5,9497,334.2,100,92.6
"sim",NA,"SST","SST",3,"weak",1,"oracle_ruleA",307487,2,2.06,2,0.4883,1.8714,-4749.22,9498.45,265.1,100,42.2
"sim",NA,"SST","WST",3,"weak",1,"spectral_ruleA",307487,2,2,2,0.503,1.8291,-4750.52,9501.04,400,150,92.4
"sim",NA,"SST","SST",3,"weak",1,"spectral_ruleA",307487,2,2,2,0.4762,1.9261,-4751.36,9502.73,0,150,38
"sim",NA,"SST","WST",3,"weak",1,"calibrate_full",307487,3,3.29,3,1,0,-4614.37,9228.73,44.4,0.94,195.2
"sim",NA,"SST","SST",3,"weak",1,"calibrate_full",307487,3,3.16,3,1,0,-4616.19,9232.38,11.1,0.94,51.3
"sim",NA,"SST","WST",3,"weak",1,"hierarchical",307487,3,2.99,3,0.857,0.4174,-4639.57,9279.15,11.2,0.45,164
"sim",NA,"SST","SST",3,"weak",1,"hierarchical",307487,3,3.26,3,0.815,0.5007,-4613.21,9226.42,21.2,0.5,61.7
"sim",NA,"SST","WST",3,"weak",1,"no_moves",307487,2,2,2,0.4616,1.8569,-4742.88,9485.76,0,100,96.4
"sim",NA,"SST","SST",3,"weak",1,"no_moves",307487,2,2,2,0.503,1.756,-4751.27,9502.53,0,100,36.9
"sim",NA,"SST","DCSBM",3,"weak",1,"dcsbm_varK",307487,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270999999997002
"sim",NA,"WST","WST",5,"weak",1,"default",776506,5,5.43,5,0.9184,0.2681,-4244.36,8488.72,8.6,1,537.4
"sim",NA,"WST","SST",5,"weak",1,"default",776506,6,6.17,6,0.9792,0.0828,-4245.97,8491.93,22.1,1,55
"sim",NA,"WST","WST",5,"weak",1,"oracle_ruleA",776506,2,2.19,2,0.5882,2.5321,-4562.33,9124.66,47.5,60,113.7
"sim",NA,"WST","SST",5,"weak",1,"oracle_ruleA",776506,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1219999999994
"sim",NA,"WST","WST",5,"weak",1,"spectral_ruleA",776506,1,1,1,1,2.3219,-4563.15,9126.31,0,150,20.3
"sim",NA,"WST","SST",5,"weak",1,"spectral_ruleA",776506,2,2.04,2,0.5882,2.4421,-4564.65,9129.3,400,150,41
"sim",NA,"WST","WST",5,"weak",1,"calibrate_full",776506,5,5.33,5,1,0,-4237.15,8474.3,61.2,1.07,610.6
"sim",NA,"WST","SST",5,"weak",1,"calibrate_full",776506,5,5.71,5,1,0,-4242.89,8485.78,103.9,1.07,60.3
"sim",NA,"WST","WST",5,"weak",1,"hierarchical",776506,1,1.28,1,1,2.3219,-4561.9,9123.8,3.1,1.01,80.2
"sim",NA,"WST","SST",5,"weak",1,"hierarchical",776506,5,5.41,5,0.9572,0.1675,-4258.95,8517.91,27.6,1.01,50
"sim",NA,"WST","WST",5,"weak",1,"no_moves",776506,3,3,3,0.6646,1.6543,-4422.36,8844.72,0,60,156.4
"sim",NA,"WST","SST",5,"weak",1,"no_moves",776506,2,2,2,1,1.5076,-4423.19,8846.38,0,60,32
"sim",NA,"WST","DCSBM",5,"weak",1,"dcsbm_varK",776506,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257000000001426
"sim",NA,"SST","WST",5,"weak",1,"default",88920,5,5.15,5,0.9181,0.3311,-4092.23,8184.46,107.4,1,481.5
"sim",NA,"SST","SST",5,"weak",1,"default",88920,5,5.13,5,0.9181,0.3311,-4098.13,8196.26,81.1,1,49.1
"sim",NA,"SST","WST",5,"weak",1,"oracle_ruleA",88920,2,1.77,2,0.5882,2.4611,-4473.81,8947.63,2.8,60,78.4
"sim",NA,"SST","SST",5,"weak",1,"oracle_ruleA",88920,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1360000000022
"sim",NA,"SST","WST",5,"weak",1,"spectral_ruleA",88920,2,2.05,2,0.6075,2.4611,-4476.24,8952.47,400,150,90.4
"sim",NA,"SST","SST",5,"weak",1,"spectral_ruleA",88920,2,2.09,2,0.6075,2.4421,-4477.18,8954.36,400,150,37
"sim",NA,"SST","WST",5,"weak",1,"calibrate_full",88920,5,5.24,5,0.9181,0.3311,-4092.4,8184.8,64.5,1.15,416.1
"sim",NA,"SST","SST",5,"weak",1,"calibrate_full",88920,5,5.08,5,0.9181,0.3311,-4092.62,8185.23,59.2,1.15,48.2
"sim",NA,"SST","WST",5,"weak",1,"hierarchical",88920,1,1.04,1,1,2.3219,-4477.29,8954.58,170.9,1.33,48.2
"sim",NA,"SST","SST",5,"weak",1,"hierarchical",88920,5,5.32,5,0.9181,0.3311,-4097.69,8195.37,24.3,0.48,47.1
"sim",NA,"SST","WST",5,"weak",1,"no_moves",88920,1,1.32,1,1,2.3219,-4476.21,8952.43,1.8,60,61.9
"sim",NA,"SST","SST",5,"weak",1,"no_moves",88920,2,2,2,0.75,1.9266,-4435.81,8871.61,0,60,31.2
"sim",NA,"SST","DCSBM",5,"weak",1,"dcsbm_varK",88920,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257000000001426
