Gen,Model,ELPD wins,VI wins,ARI wins,Exact K,Scenarios
SST,DC-SBM,4,2,5,1,8
SST,SST,1,6,5,1,8
SST,WST,3,5,4,1,8
WST,DC-SBM,3,1,4,0,8
WST,SST,1,7,5,4,8
WST,WST,4,4,6,2,8
