"gen_model","fit_model","K_target","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","pk_bad","pk_bad_count","pareto_k_max","pareto_k_mean","n_loo_obs","time","seed","sigma0","tau0","dominance_target","N0_psi","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","elpd_rank","elpd_best_model","delta_elpd_best","delta_elpd_best_se","delta_elpd_best_z","elpd_wst_minus_sst","elpd_wst_minus_sst_se","elpd_wst_minus_sst_z","elpd_wst_minus_dc","elpd_wst_minus_dc_se","elpd_wst_minus_dc_z","elpd_sst_minus_dc","elpd_sst_minus_dc_se","elpd_sst_minus_dc_z","rep_id","kappa_sd","density","eta_mean","eta_sd","eta_mode"
"WST","WST",NA,9,10,8.88,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;4;4;6;10;14;7;13",0.8,0.520911775652149,1.6840496673713,-2807.60412718225,51.1564116629932,197.289942033883,8.29249308687948,5615.2082543645,102.312823325986,0.0175141242937853,31,1.04714832077503,0.247735884891373,1770,588.941,1003,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.353134926020194,0.205424463401211,0.502455357142857,110,0.00736158314189371,0.86146610228398,0.726930261519303,0.968855263157895,63.2605738428433,0.00786623463160134,0.347602654947775,0.209717607973422,0.502115384615385,110,0.00721416435385718,0.838154110173827,0.764765625,0.907878652355396,110,0.00385647592284229,0.51816655161145,0.397911392405063,0.62588141025641,110,0.00520847071064894,0.595846025620795,0.575556920496852,0.617624542461802,110,0.00106122508925621,0.797045454545455,0.620416666666667,0.951666666666666,66.2915072152423,0.0120678067014273,0.282727272727273,0.147708333333333,0.433333333333333,81.3735750602904,0.00839683750934227,0.554772727272727,0.387708333333333,0.760625,73.0427178544844,0.0120499144953151,0.223484848484848,0.125,0.341666666666667,72.9361887164525,0.00707991437129036,0.544318181818182,0.45375,0.65,77.4087802597194,0.00600948082841059,0.336818181818182,0.25,0.425,110,0.00450030865479147,95.6454545454545,77.0545454545454,77.9090909090909,0.797045454545455,0.642121212121212,0.649242424242424,1,1,1,0,0,0,0.688630840504607,0.491399471818876,0.836987435772427,0.532303089744723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388277629940448,0.371142675126112,0.411088282659554,427.336666666667,1100.50666666667,110,0.506993006993007,580,1,"WST",0,0,NA,11.0203498992314,4.6820815456059,2.35372874049448,12.8630809000169,8.62981893907141,1.49053890827066,1.84273100078553,6.5641547324698,0.280726319821561,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","SST",NA,9,6,7.24166666666667,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;4;4;6;10;14;7;13",0.8,0.343849534689229,1.96177608747762,-2818.62447708148,51.5383149630418,174.5913993139,7.28760447847748,5637.24895416297,103.076629926084,0.0231638418079096,41,1.12548406367496,0.239542227574728,1770,701.424,1004,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,1,1,1,0,NA,0.932480763807633,0.703676470588235,1,106.929669758671,0.00867173348580286,0.396483016338078,0.1,0.676282051282051,146,0.0131471002717358,0.818244961234486,0.615384615384615,1,146,0.00901977307047374,0.506611312181417,0.214285714285714,0.75,173.437759494414,0.0110593621509553,0.636765457539123,0.602349910865827,0.686649386071171,102.844258591939,0.0021813968485242,1,1,1,0,NA,1,1,1,0,NA,0.643493150684932,0.35,1,146,0.0150048307339439,0.275684931506849,0.05,0.51875,98.9626101819203,0.0131495138219848,0.533561643835616,0.35,0.75,146,0.00918386157479066,0.330821917808219,0.15,0.55,170.943479130303,0.00848920644613124,20,13.7876712328767,13.0479452054795,1,0.689383561643836,0.652397260273973,1,1,1,0,0,0,0.958468087259153,0.848353378883209,0.995620254718276,0.0777688749695625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.390443295811578,0.368534219418883,0.433722764554924,398.371666666667,1018.89166666667,146,0.50271444082519,463,2,"WST",-11.0203498992314,4.6820815456059,2.35372874049448,11.0203498992314,4.6820815456059,2.35372874049448,12.8630809000169,8.62981893907141,1.49053890827066,1.84273100078553,6.5641547324698,0.280726319821561,1,0.35,"sparse",1,0.1,"GAMMA"
"WST","DC-SBM",NA,9,3,3.07666666666667,"weak",0.8,0.1225,0.45,0.0625,3,1,"1;1;4;4;6;10;14;7;13",0.8,0.305155718398325,2.79430015129174,-2820.46720808227,51.4870910061993,117.135549990987,4.79093789335575,5640.93441616454,102.974182012399,0.0203389830508475,36,1.34240742183098,0.167360658238,1770,37.633,1005,0.554700196225229,0.2,0.75,13,0.995203836930456,1,1,417,0.00338732077632425,0.28537170263789,0,1,175.69487032219,0.0341104445168297,1,1,1,0,NA,0.145454545454546,0,1,77.0315521418427,0.0402152698036769,0.862745098039216,0,1,408,0.0170572092627781,0.450980392156863,0,1,408,0.0246646838436634,0.583907155416439,0.543147156990041,0.624876896210306,323.606369369093,0.00122435752871162,0.747747747747748,0,1,248.522755514956,0.02757424386524,0.214414414414414,0,1,188.998695047178,0.0298803684656748,0.792792792792793,0,1,121.154206072492,0.0368556976517176,0.115315315315315,0,1,119.183946864328,0.0292833310651905,0.634234234234234,0,1,315.633666314336,0.0271347807473376,0.331531531531531,0,1,555,0.0200008291855138,0.751351351351351,0.792792792792793,0.735135135135135,0.751351351351351,0.792792792792793,0.735135135135135,0.981981981981982,1,1,0.0160258605268527,0.00112394463661295,0.0012599246712256,0.925565005250876,0.77488520164912,0.99980648896375,0.235572463283247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438078841930018,0.398985565716335,0.462355771542689,371.893333333333,848.448333333333,555,0.495121951219512,406,3,"WST",-12.8630809000169,8.62981893907141,1.49053890827066,11.0203498992314,4.6820815456059,2.35372874049448,12.8630809000169,8.62981893907141,1.49053890827066,1.84273100078553,6.5641547324698,0.280726319821561,1,0.35,"sparse",1,0.1,"GAMMA"
"SST","WST",NA,10,5,5.06666666666667,"strong",4,1,1.8,0.0625,3,1,"1;1;3;2;1;8;17;3;8;16",4,0.726486041001339,1.17693834598687,-6111.52689916788,42.2613784099066,107.481327850542,4.48605260978328,12223.0537983358,84.5227568198132,0.0112994350282486,20,2.93534196446956,0.1126570801488,1770,637.137,1002,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.802673796791444,0.6,1,561,0.00516593403808906,1,1,1,0,NA,0.97807486631016,0.8,1,22.2083194179259,0.0119645750604305,0.873786181139122,0.75,1,124.481098362549,0.00747107945486825,0.258153665506607,0,0.714285714285714,100.671111342702,0.0199832197864531,0.67396979730342,0.65042700553289,0.697834944246554,196.787612606672,0.000859640403763938,0.958288770053476,0.7,1,236.812295684063,0.00675094474423594,0.765775401069519,0.5,1,326.35165090145,0.00712696502954784,0.996791443850267,1,1,185.474357271413,0.00226791090852455,0.974866310160428,0.8,1,16.3378482756537,0.0156317306112904,0.577718360071301,0.4,0.8,135.102713018974,0.0086733433560144,0.172192513368984,0,0.5,124.080550017169,0.0129129271873664,9.58288770053476,9.96791443850267,6.63814616755793,0.958288770053476,0.996791443850267,0.663814616755793,1,1,1,0,0,0,0.965330842893388,0.8789482917164,0.994328122223015,0.16260651591282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347166318223046,0.343833017077799,0.350578721953195,1853.60333333333,5338.97833333333,561,0.634091756807161,3400,1,"WST",0,0,NA,0.803727642817648,5.68054949119257,0.141487657851373,1.24829112123734,6.56555340340928,0.190127327361186,0.444563478419695,5.41596074283608,0.0820839550965613,1,1,"dense",1,0.1,"GAMMA"
"SST","SST",NA,10,5,5.05333333333333,"strong",4,1,1.8,0.0625,3,1,"1;1;3;2;1;8;17;3;8;16",4,0.66565923687193,0.953467932954186,-6112.3306268107,42.5781414184628,108.02654261921,5.05286890881129,12224.6612536214,85.1562828369256,0.0096045197740113,17,2.22679816292576,0.12419975533727,1770,896.361,1003,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.936091549295775,0.8175,1,225.979839401811,0.0035448934166798,0.903687402190923,0.8,1,215.24366517138,0.00558282511759048,0.280946791862285,0,0.625,196.253690443688,0.0117483439526915,0.678934653393803,0.664142584675106,0.694728271485433,431.834736825937,0.000377135836324796,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.936091549295775,0.8175,1,225.979839401811,0.0035448934166798,0.557570422535211,0.4,0.8,470.919726008695,0.00492154516040497,0.173943661971831,0,0.5,240.824514669217,0.00721815546370199,10,10,6.16549295774648,1,1,0.616549295774648,1,1,1,0,0,0,0.988603047024367,0.970062879242925,0.997987143348436,0.0527296838224604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347169494423484,0.343558282208589,0.350972904164394,1877.27166666667,5406.99833333333,568,0.60234132065118,3293,2,"WST",-0.803727642817648,5.68054949119257,0.141487657851373,0.803727642817648,5.68054949119257,0.141487657851373,1.24829112123734,6.56555340340928,0.190127327361186,0.444563478419695,5.41596074283608,0.0820839550965613,1,1,"dense",1,0.1,"GAMMA"
"SST","DC-SBM",NA,10,5,5,"strong",4,1,1.8,0.0625,3,1,"1;1;3;2;1;8;17;3;8;16",4,0.498299319727891,0.850595722048175,-6112.77519028912,42.2358494127182,122.272980775769,5.20577606718159,12225.5503805782,84.4716988254363,0.00847457627118644,15,1.59394104535663,0.112878267676203,1770,22.4740000000002,1004,0.554700196225229,0.2,0.75,13,1,1,1,0,NA,0.807214285714286,0.6,1,599.999999999995,0.00463283942525774,1,1,1,0,NA,0.904452380952381,0.8,1,24.5629986230105,0.0169686825488729,0.916763888888889,0.714285714285714,1,118.596501145496,0.00826107611794504,0.294636243386243,0,0.667857142857142,82.889397722197,0.0203242961848512,0.681034308754855,0.654672541284796,0.71364159851119,7.62118919568824,0.00581903924895224,0.9665,0.7,1,85.8227777049765,0.0102077950287556,0.777,0.6,1,372.917361633934,0.00611858431954506,0.908,0.7,1,10.7480561313133,0.0422301702448999,0.813166666666667,0.7,1,8.28062720787424,0.0342720112042131,0.620833333333333,0.4,0.9,79.400812859136,0.013915349081184,0.209,0,0.5,68.1328295354845,0.0177314967966401,9.665,9.08,6.74,0.9665,0.908,0.674,1,1,1,0,0,0,0.962369715680321,0.864809802632138,0.995039143174392,0.192576744022229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349271444175659,0.345509320278667,0.352615604356365,1921.25666666667,5500.36166666667,600,0.603878613754714,3363,3,"WST",-1.24829112123734,6.56555340340928,0.190127327361186,0.803727642817648,5.68054949119257,0.141487657851373,1.24829112123734,6.56555340340928,0.190127327361186,0.444563478419695,5.41596074283608,0.0820839550965613,1,1,"dense",1,0.1,"GAMMA"
