gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
SST,3,medium,0.75,0.7,4,0,0,0.36543074862947833,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,0.75,0.2,4,0,0,19.301295237349223,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,strong,0.75,1.3,4,0,0,-6.088201596840008,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,3,0.2,3,0.144950518186559,-0.040161553821020046,16.44644396424883,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
SST,3,weak,1.5,0.2,4,0,0,4.247540978450161,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,strong,3,1.3,3,0,0,-13.984458067980086,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,strong,1.5,1.3,4,0,0,1.2994920747696597,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,medium,3,0.7,3,0,0,-30.386736983520677,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,1.5,0.7,4,0,0,6.8492750052191695,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,8,medium,6,0.7,3,-0.498395815990818,0.29969522519471703,-657.0151719385995,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,8,weak,6,0.2,3,0,0,-45.64512843739976,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,6,1.3,3,0,0,-45.43638766099866,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,3,medium,3,0.7,4,0,0,2.1031027460994665,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,3,weak,3,0.2,4,0,0,3.944445868899493,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
