gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
WST,3,weak,6,0.2,1,0,0,-924.4412206915003,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,medium,6,0.7,1,-0.6666666666666665,0.484798685291701,-671.5013353908998,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,strong,1.5,1.3,1,-0.23246719115293601,0.10347219051405998,-12.202331685890385,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,medium,1.5,0.7,1,0,0,-8.045485063590604,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,strong,6,1.3,1,0,0,-60.167655706898586,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,1.5,0.2,1,0,0,-19.70493451664879,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,3,0.2,1,0,0,-69.22322624539993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,weak,0.75,0.2,1,-0.06902849083460993,0.11549799095568003,13.541360393039213,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,5,medium,3,0.7,1,0,0,-25.199701485718833,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,medium,0.75,0.7,1,-0.3390127964104799,-0.04940406298056199,-5.131885722369589,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
WST,5,strong,3,1.3,1,0,0,2.369351788509448,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,5,weak,6,0.2,1,0,0,-31.56770049860097,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,strong,6,1.3,1,0,0,-70.27194465740104,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,0.75,1.3,1,-0.0724752590932791,0.020399695733351986,-12.95400022314061,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WST,5,medium,6,0.7,1,0,0,-118.09436715820084,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,medium,1.5,0.7,1,0,0,-66.29359087414014,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,8,strong,1.5,1.3,1,-0.144517241050952,0.03998296125622003,2.4307220359696657,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,8,weak,1.5,0.2,1,0,0,-39.61394723081048,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
