gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,looic_WST,looic_SST,looic_DC,elpd_WST,elpd_SST,elpd_DC,pk_bad_WST,pk_bad_SST,pk_bad_DC,win_rate_WST,win_rate_SST,win_rate_DC,best_mean_looic,best_mean_model,ordered_best_model,ordered_best_looic,dloo_WST_minus_SST,dloo_WST_minus_DC,dloo_SST_minus_DC,dloo_ordered_best_minus_DC,correct_model,correct_looic,dloo_correct_minus_best,correct_is_best,ordered_beats_DC,WST_beats_SST,SST_beats_WST
WST,3,medium,0.7,0.75,3,5559.846422191107,5560.181155631087,5550.995206025314,-2779.923211095557,-2780.0905778155434,-2775.497603012657,0.006026365348399243,0.006967984934086627,0.029755178907721263,0,0,1,5550.995206025314,DC-SBM,WST,5559.846422191107,-0.3347334399795727,8.85121616579363,9.185949605773203,8.85121616579363,WST,5559.846422191107,8.85121616579363,FALSE,FALSE,TRUE,FALSE
WST,3,medium,0.7,1.5,3,8069.47848333154,8072.099819281947,8074.733567138916,-4034.73924166577,-4036.049909640973,-4037.36678356946,0.00282485875706215,0.012429378531073447,0.003954802259887004,0.3333333333333333,0.3333333333333333,0.3333333333333333,8069.47848333154,WST,WST,8069.47848333154,-2.6213359504072287,-5.25508380737665,-2.6337478569694213,-5.25508380737665,WST,8069.47848333154,0,TRUE,TRUE,TRUE,FALSE
WST,3,medium,0.7,3,3,9962.34262421446,10005.22068578851,9960.48843130209,-4981.171312107236,-5002.61034289426,-4980.24421565104,0.006779661016949144,0.01864406779661017,0.0062146892655367235,0,0,1,9960.48843130209,DC-SBM,WST,9962.34262421446,-42.87806157405066,1.854192912369399,44.73225448642006,1.854192912369399,WST,9962.34262421446,1.854192912369399,FALSE,FALSE,TRUE,FALSE
WST,3,medium,0.7,6,3,13648.841703643933,13925.438998117033,13646.912896925234,-6824.42085182196,-6962.719499058523,-6823.4564484626135,0.0022598870056497133,0.050094161958568736,3.766478342749534e-4,0,0,1,13646.912896925234,DC-SBM,WST,13648.841703643933,-276.5972944731002,1.9288067186989792,278.52610119179917,1.9288067186989792,WST,13648.841703643933,1.9288067186989792,FALSE,FALSE,TRUE,FALSE
WST,3,strong,1.3,0.75,3,6063.899951062287,6063.314693204923,6051.31984933462,-3031.9499755311435,-3031.6573466024633,-3025.65992466731,0.02015065913370997,0.03427495291902072,0.011487758945386081,0,0,1,6051.31984933462,DC-SBM,SST,6063.314693204923,0.585257857364013,12.58010172766717,11.994843870303157,11.994843870303157,WST,6063.899951062287,12.58010172766717,FALSE,FALSE,FALSE,TRUE
WST,3,strong,1.3,1.5,3,6518.978142973643,6556.40702872774,6510.834189651489,-3259.4890714868234,-3278.203514363867,-3255.4170948257433,0.0052730696798493435,0.03672316384180793,0.008097928436911494,0,0,1,6510.834189651489,DC-SBM,WST,6518.978142973643,-37.42888575409688,8.14395332215372,45.5728390762506,8.14395332215372,WST,6518.978142973643,8.14395332215372,FALSE,FALSE,TRUE,FALSE
WST,3,strong,1.3,3,3,9385.257066196697,9392.530701563877,9381.211984960313,-4692.628533098346,-4696.265350781937,-4690.605992480157,0.001883239171374767,0.004519774011299437,0,0,0,1,9381.211984960313,DC-SBM,WST,9385.257066196697,-7.273635367180759,4.045081236383339,11.318716603564098,4.045081236383339,WST,9385.257066196697,4.045081236383339,FALSE,FALSE,TRUE,FALSE
WST,3,strong,1.3,6,3,11154.498047872767,11187.477211849133,11152.1538565485,-5577.249023936403,-5593.73860592457,-5576.076928274254,0.0022598870056497167,0.0273069679849341,0,0,0,1,11152.1538565485,DC-SBM,WST,11154.498047872767,-32.97916397636618,2.344191324265921,35.3233553006321,2.344191324265921,WST,11154.498047872767,2.344191324265921,FALSE,FALSE,TRUE,FALSE
WST,3,weak,0.2,0.75,3,5730.3845437305135,5734.37438727334,5727.051203697516,-2865.1922718652568,-2867.18719363667,-2863.5256018487567,0.0045197740112994335,0.0024482109227871936,0,0.3333333333333333,0,0.6666666666666666,5727.051203697516,DC-SBM,WST,5730.3845437305135,-3.9898435428267476,3.333340032997512,7.32318357582426,3.333340032997512,WST,5730.3845437305135,3.333340032997512,FALSE,FALSE,TRUE,FALSE
WST,3,weak,0.2,1.5,3,7195.6392079508,7189.002211376353,7181.178639065267,-3597.8196039754034,-3594.5011056881767,-3590.5893195326366,0.008286252354048963,0.0071563088512241035,0.017890772128060253,0,0.3333333333333333,0.6666666666666666,7181.178639065267,DC-SBM,SST,7189.002211376353,6.63699657444613,14.460568885532666,7.8235723110865365,7.8235723110865365,WST,7195.6392079508,14.460568885532666,FALSE,FALSE,FALSE,TRUE
