gen_model,K_true,hierch,kappa_mean,psi_mean,fit_model,n_reps,ari,vi,nvi,exact_K,K_abs_err,looic,pk_bad
WST,3,medium,0.75,0.7,WST,3,0.8310458385549614,0.47881862628432265,0.3021009178869915,1,0,5559.846422191107,0.006026365348399243
WST,3,medium,0.75,0.7,SST,3,0.8403133283885633,0.445500987239898,0.2810798280951099,0.6666666666666666,0.33333333333333337,5560.181155631087,0.006967984934086627
WST,3,medium,0.75,0.7,DC-SBM,3,0.8429773472910513,0.4587344657685373,0.28942922344207744,1,0,5550.995206025314,0.029755178907721263
WST,3,medium,1.5,0.7,WST,3,0.9523247941645373,0.13914045379849227,0.0877878522269035,1,0,8069.47848333154,0.00282485875706215
WST,3,medium,1.5,0.7,SST,3,0.983187567129173,0.06404468401625496,0.040407696703937596,1,0,8072.099819281947,0.012429378531073447
WST,3,medium,1.5,0.7,DC-SBM,3,0.8312348727477203,0.4049666945501137,0.2555055367971509,0.6666666666666666,0.33333333333333337,8074.733567138916,0.003954802259887004
WST,3,medium,3,0.7,WST,3,0.966375134258346,0.12808936803250948,0.08081539340787493,1,0,9962.34262421446,0.006779661016949144
WST,3,medium,3,0.7,SST,3,0.9273200460439733,0.26353134840862846,0.16626976870980986,0.6666666666666666,0.33333333333333337,10005.22068578851,0.01864406779661017
WST,3,medium,3,0.7,DC-SBM,3,0.966375134258346,0.12808936803250948,0.08081539340787493,1,0,9960.48843130209,0.0062146892655367235
WST,3,medium,6,0.7,WST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,13648.841703643933,0.0022598870056497133
WST,3,medium,6,0.7,SST,3,0.8384004382360997,0.2222222222222226,0.14020661190476857,0.6666666666666666,0.33333333333333337,13925.438998117033,0.050094161958568736
WST,3,medium,6,0.7,DC-SBM,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,13646.912896925234,3.766478342749534e-4
WST,3,strong,0.75,1.3,WST,3,0.983187567129173,0.06404468401625496,0.040407696703937596,1,0,6063.899951062287,0.02015065913370997
WST,3,strong,0.75,1.3,SST,3,0.966375134258346,0.12808936803250948,0.08081539340787493,1,0,6063.314693204923,0.03427495291902072
WST,3,strong,0.75,1.3,DC-SBM,3,0.983187567129173,0.06404468401625496,0.040407696703937596,1,0,6051.31984933462,0.011487758945386081
WST,3,strong,1.5,1.3,WST,3,0.9380089309167323,0.2007695128543443,0.12667145926985302,1,0,6518.978142973643,0.0052730696798493435
WST,3,strong,1.5,1.3,SST,3,1,0.2222222222222226,0.14020661190476857,0.6666666666666666,0.33333333333333337,6556.40702872774,0.03672316384180793
WST,3,strong,1.5,1.3,DC-SBM,3,0.9380089309167323,0.2007695128543443,0.12667145926985302,1,0,6510.834189651489,0.008097928436911494
WST,3,strong,3,1.3,WST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,9385.257066196697,0.001883239171374767
WST,3,strong,3,1.3,SST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,9392.530701563877,0.004519774011299437
WST,3,strong,3,1.3,DC-SBM,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,9381.211984960313,0
WST,3,strong,6,1.3,WST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,11154.498047872767,0.0022598870056497167
WST,3,strong,6,1.3,SST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,11187.477211849133,0.0273069679849341
WST,3,strong,6,1.3,DC-SBM,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,11152.1538565485,0
WST,3,weak,0.75,0.2,WST,3,0.82878918332855,0.9234381644079769,0.5826246135084039,0.3333333333333333,1,5730.3845437305135,0.0045197740112994335
WST,3,weak,0.75,0.2,SST,3,0.82878918332855,0.9234381644079769,0.5826246135084039,0.3333333333333333,1,5734.37438727334,0.0024482109227871936
WST,3,weak,0.75,0.2,DC-SBM,3,0.82878918332855,0.9234381644079769,0.5826246135084039,0.3333333333333333,1,5727.051203697516,0
WST,3,weak,1.5,0.2,WST,3,0.8215880053652727,0.2862669062384771,0.1806143086087059,0.6666666666666666,0.33333333333333337,7195.6392079508,0.008286252354048963
WST,3,weak,1.5,0.2,SST,3,0.8331336494502783,0.39708291096960846,0.2505314231654921,1,0,7189.002211376353,0.0071563088512241035
WST,3,weak,1.5,0.2,DC-SBM,3,0.8215880053652727,0.2862669062384771,0.1806143086087059,0.6666666666666666,0.33333333333333337,7181.178639065267,0.017890772128060253
WST,3,weak,3,0.2,WST,3,1,0.7505430557959425,0.4735399452381026,0.3333333333333333,1,10348.404774541497,0.00489642184557439
