gen_model,hierch,psi_mean,n_scenarios,WST_best,SST_best,DC_best,correct_best_rate,ordered_beats_DC_rate,mean_dloo_correct_minus_best,mean_dloo_ordered_best_minus_DC
WST,medium,0.7,12,4,0,8,0.3333333333333333,0.3333333333333333,4.325975986951258,-11.456440656212939
WST,strong,1.3,12,3,2,7,0.25,0.4166666666666667,7.5898801647676155,-9.966336971024097
WST,weak,0.2,12,3,1,8,0.25,0.3333333333333333,4.031447658050032,-23.389001330450284
SST,medium,0.7,12,3,5,4,0.4166666666666667,0.6666666666666666,2.21681335909481,-55.422557454436095
SST,strong,1.3,12,1,7,4,0.5833333333333334,0.6666666666666666,2.1851064663690067,-45.68205697022957
SST,weak,0.2,12,0,9,3,0.75,0.75,1.0613250275016526,-43.63113008322072
