gen_model,fit_model,n_scenarios,ari,vi,nvi,exact_K,K_abs_err,looic,pk_bad
WST,WST,36,0.9296330043679045,0.2972046838719718,0.13395609866280986,0.7777777777777778,0.3518518518518518,8813.2541900907745,0.005105670642393805
WST,SST,36,0.9188433120610898,0.32249106146555645,0.14595100931702246,0.7407407407407407,0.3981481481481482,8861.42276941134,0.010692613517472273
WST,DC-SBM,36,0.9185140835669234,0.3723384663282482,0.16111127908901332,0.6944444444444444,0.6111111111111112,8826.658507889693,0.009175559740531492
SST,WST,36,0.9121842115524121,0.3566982908851802,0.15842731297061746,0.7314814814814815,0.4560185185185185,9017.430013178437,0.006055137057961916
SST,SST,36,0.9135940723164211,0.36782033904886263,0.16263125465298367,0.7291666666666666,0.4953703703703704,9011.132804101124,0.00587335216572505
SST,DC-SBM,36,0.8793776585683994,0.5125259268557459,0.21533187819624988,0.5486111111111112,0.9328703703703705,9059.053032080867,0.011253661853944342
