gen_model,n_scenarios,correct_best,correct_best_rate,ordered_beats_DC_count,ordered_beats_DC_rate
SST,36,21,0.5833333333333334,25,0.6944444444444444
WST,36,10,0.2777777777777778,13,0.3611111111111111
