gen_model,kappa_mean,psi_mean,fit_model_clean,mean_vi,pr_KeqKstar,viol_partition_mean,viol_partition_lo,viol_partition_hi
SST,0.75,0.2,WST,0.3922299024338626,0.4,0.4592060629967629,0.4308069332928685,0.4898160542949687
SST,0.75,0.2,SST,0.3952675182035052,0.5,0.4643327609981056,0.4359731628502777,0.4946903224776404
SST,0.75,0.2,DC,0.5245980986704802,0.2,0.4807299560694952,0.4575532567700142,0.5085624804508092
SST,0.75,1.3,WST,0.24468323465860878,0.8,0.3340424208867856,0.3223578844914793,0.3542122831226579
SST,0.75,1.3,SST,0.26305641539612373,0.7,0.3302258541124925,0.3186274046217469,0.3435602605957948
SST,0.75,1.3,DC,0.31296795461213617,0.6,0.333844208286751,0.3244502001423908,0.3479318256225108
SST,1.5,0.2,WST,0.1313178339237021,0.6,0.4427619423073917,0.433980338088433,0.4565875324631143
SST,1.5,0.2,SST,0.14757401443972434,0.5,0.4472608411848898,0.4386864892238921,0.45748956916568223
SST,1.5,0.2,DC,0.20158431604282023,0.4,0.4585466743649258,0.4526637985967226,0.4638520366025789
SST,1.5,1.3,WST,0.11846360594164555,0.8,0.3225890896883915,0.311221750804004,0.3355184090617404
SST,1.5,1.3,SST,0.11901125540884057,0.7,0.3205669387252876,0.3159972823607743,0.3279660553948373
SST,1.5,1.3,DC,0.15844074891160578,0.5,0.3331055733186691,0.3307706786506338,0.3385453449294168
SST,3,0.2,WST,0.0420619835714306,0.9,0.4519865080777006,0.4480977009438943,0.4624043309106667
SST,3,0.2,SST,0.0420619835714306,0.9,0.4552570750830231,0.4495227106527009,0.4628084651295133
SST,3,0.2,DC,0.0758706632598604,0.6,0.47406464073718146,0.4693622293799654,0.4752036163654658
SST,3,1.3,WST,0.10875267445973127,0.7777777777777778,0.3244036854939691,0.32097331175400723,0.33025166170213865
SST,3,1.3,SST,0.12275382341563429,0.8888888888888888,0.323907658065728,0.321281887274608,0.3256324254551777
SST,3,1.3,DC,0.11713722479436844,0.7777777777777778,0.32622802435202386,0.32506236466796945,0.3287781536239678
WST,0.75,0.2,WST,0.5885693047210825,0.1111111111111111,0.41791303509068267,0.38704610890390667,0.45208440730964355
WST,0.75,0.2,SST,0.5732840109386728,0.1111111111111111,0.4219813685264672,0.38797623878102677,0.459104415412556
WST,0.75,0.2,DC,0.6577169590147742,0.2222222222222222,0.4532775915819709,0.4333360964095205,0.4733429477762886
WST,0.75,1.3,WST,0.2250242339226965,0.4444444444444444,0.21626085404508544,0.20719331937965266,0.235416215559414
WST,0.75,1.3,SST,0.21143083223211478,0.4444444444444444,0.21180303438619777,0.2061310271018292,0.22039065552220533
WST,0.75,1.3,DC,0.2425917267014368,0.4444444444444444,0.23633716725447265,0.2160513968403599,0.25359162840831967
WST,1.5,0.2,WST,0.15794466706085658,0.5555555555555556,0.41526340383051047,0.4066035229868066,0.42828664836546343
WST,1.5,0.2,SST,0.198621454916493,0.7777777777777778,0.4287541777674703,0.41664425815115136,0.44212840559460187
WST,1.5,0.2,DC,0.18273179236801385,0.5555555555555556,0.4403483525735016,0.4344090167577968,0.4444968969388828
WST,1.5,1.3,WST,0.05947031117999815,0.8888888888888888,0.218097280169268,0.214925347486175,0.22669476908312144
WST,1.5,1.3,SST,0.0843550530644538,0.8888888888888888,0.21037500105549245,0.20830411381630135,0.21868362706646177
WST,1.5,1.3,DC,0.07717180104883159,0.8888888888888888,0.22439348003106957,0.21655108244914212,0.22861402430373767
WST,3,0.2,WST,0.18235636648213163,0.6666666666666666,0.4283497555039471,0.41902592463558946,0.4446112959254951
WST,3,0.2,SST,0.17698782877151836,0.6666666666666666,0.43859743756026254,0.4293732376617043,0.45391490798920714
WST,3,0.2,DC,0.19110995257310942,0.5555555555555556,0.455698578812946,0.4535745997261376,0.4571244402850635
WST,3,1.3,WST,0.0052408796269587605,1,0.22590655107337568,0.22549196007040168,0.23018199543247833
WST,3,1.3,SST,0.0052408796269587605,1,0.225547981250495,0.22551349419499145,0.22564273834775467
WST,3,1.3,DC,0.01728395061728402,0.7777777777777778,0.230115720464831,0.230115720464831,0.230115720464831
