gen_model,fit_model,n,ari_mean,ari_sd,vi_mean,vi_sd,nvi_mean,K_hat_mean,Kp_mean,exact_K_rate,under_K_rate,over_K_rate,looic_mean,elpd_mean,pk_bad_mean,time_mean
WST,WST,108,0.9296330043679046,0.1305594485191757,0.2972046838719718,0.5259440620234415,0.13395609866280983,5.018518518518518,5.4077860082304525,0.7777777777777778,0.21296296296296297,0.009259259259259259,8813.2541900907745,-4406.627095045389,0.005105670642393806,1997.1585740740732
WST,SST,108,0.9188433120610898,0.1440370127420997,0.3224910614655564,0.5336985043033795,0.14595100931702243,5.046296296296296,5.2496481481481485,0.7407407407407407,0.21296296296296297,0.046296296296296294,8861.42276941134,-4430.711384705671,0.010692613517472277,6642.267425925925
WST,DC-SBM,108,0.9185140835669234,0.13873830511135882,0.37233846632824813,0.6307695674954513,0.16111127908901335,4.722222222222223,4.749874485596709,0.6944444444444444,0.3055555555555556,0,8826.658507889693,-4413.329253944846,0.00917555974053149,378.4577592592601
SST,WST,116,0.9135898778155648,0.15549444909669274,0.35510656497244153,0.5914582217197449,0.16201782171873502,4.793103448275862,5.267754789272031,0.7327586206896551,0.2413793103448276,0.02586206896551724,8901.667761546985,-4450.833880773493,0.006102669004480809,1939.1937327586197
SST,SST,116,0.9148387750749285,0.15286517210389283,0.365405517078004,0.6079764243880245,0.16589646756831403,4.741379310344828,5.102011494252873,0.7327586206896551,0.25862068965517243,0.008620689655172414,8895.665954611937,-4447.83297730597,0.006039353204753558,6519.028525862069
SST,DC-SBM,116,0.883491239741028,0.16627750644727632,0.5024643645227314,0.6919638829623503,0.21643449629320113,4.275862068965518,4.298145593869732,0.5603448275862069,0.4396551724137931,0,8940.37986914683,-4470.189934573415,0.011421196181570234,344.3851465517238
