gen_model,kappa_mean,n_scenarios,WST_best,SST_best,DC_best,correct_best_rate,ordered_beats_DC_rate,mean_dloo_correct_minus_best,mean_dloo_ordered_best_minus_DC
WST,0.75,9,3,2,4,0.3333333333333333,0.5555555555555556,7.4489987377102,-19.44809443879088
WST,1.5,9,3,1,5,0.3333333333333333,0.4444444444444444,5.795003489910616,-11.159582747680863
WST,3,9,2,0,7,0.2222222222222222,0.2222222222222222,2.3245273058491875,-6.905600689240805
WST,6,9,2,0,7,0.2222222222222222,0.2222222222222222,5.694542212888539,-22.2357607345372
SST,0.75,9,3,4,2,0.4444444444444444,0.7777777777777778,4.340946313255801,-46.87836818476485
SST,1.5,9,0,4,5,0.4444444444444444,0.4444444444444444,2.3352283781120304,-45.68845594288986
SST,3,9,0,8,1,0.8888888888888888,0.8888888888888888,0.31761127127133976,-38.11188142050176
SST,6,9,1,5,3,0.5555555555555556,0.6666666666666666,0.290540507981455,-62.302287129025395
