gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,best_mean_model,ordered_best_model,looic_WST,looic_SST,looic_DC,dloo_WST_minus_SST,dloo_ordered_best_minus_DC,win_rate_WST,win_rate_SST,win_rate_DC,correct_model,correct_is_best,ordered_beats_DC
WST,8,weak,0.2,0.75,3,SST,SST,5369.981538515343,5367.052337016934,5442.837098415146,2.929201498409384,-75.78476139821214,0.3333333333333333,0.6666666666666666,0,WST,FALSE,TRUE
WST,8,weak,0.2,1.5,3,WST,WST,7779.809824518747,7821.539062353117,7798.71737717621,-41.72923783437,-18.907552657463384,1,0,0,WST,TRUE,TRUE
WST,8,weak,0.2,3,3,WST,WST,9830.321866707924,9834.57563437755,9876.729027415096,-4.253767669626541,-46.40716070717281,0.6666666666666666,0.3333333333333333,0,WST,TRUE,TRUE
WST,8,weak,0.2,6,3,WST,WST,13076.2124852679,13156.8246458284,13254.5922002942,-80.61216056049852,-178.3797150262999,1,0,0,WST,TRUE,TRUE
SST,3,medium,0.7,0.75,4,WST,WST,5936.911721261553,5939.394626808962,5973.863061049543,-2.4829055474092456,-36.95133978799004,0.25,0,0.75,SST,FALSE,TRUE
SST,3,medium,0.7,1.5,4,DC-SBM,SST,7260.383613867687,7257.6256967313775,7252.03709414054,2.7579171363095156,5.588602590837581,0,0.25,0.75,SST,FALSE,FALSE
SST,3,medium,0.7,3,4,DC-SBM,SST,9235.978053820767,9234.941673673678,9232.083172232236,1.0363801470884937,2.8585014414420584,0,0,1,SST,FALSE,FALSE
SST,3,medium,0.7,6,3,WST,WST,12723.7079909699,12724.226544632533,12727.748858743233,-0.5185536626322573,-4.040867773332138,0.3333333333333333,0.3333333333333333,0.3333333333333333,SST,FALSE,TRUE
SST,3,strong,1.3,0.75,4,DC-SBM,SST,5597.997953691052,5596.5942208672395,5577.386822030205,1.4037328238127884,19.207398837034816,0,0,1,SST,FALSE,FALSE
SST,3,strong,1.3,1.5,4,DC-SBM,SST,6977.044351127605,6972.859591185181,6968.923179940877,4.1847599424245345,3.9364112443035992,0,0.25,0.75,SST,FALSE,FALSE
SST,3,strong,1.3,3,3,SST,SST,9756.175568514527,9752.379479960324,9762.643889252942,3.7960885542033793,-10.264409292618438,0,0.3333333333333333,0.6666666666666666,SST,TRUE,TRUE
SST,3,strong,1.3,6,3,DC-SBM,SST,12965.947188092634,12964.9171869184,12963.424245221833,1.0300011742347124,1.4929416965660494,0,0,1,SST,FALSE,FALSE
SST,3,weak,0.2,0.75,4,SST,SST,6255.40312267411,6248.409149764082,6254.93623428481,6.993972910027878,-6.52708452072784,0,0.5,0.5,SST,TRUE,TRUE
