gen_model,K_true,n_scenarios,WST_best,SST_best,DC_best,correct_best_rate,ordered_beats_DC_rate,mean_dloo_correct_minus_best,mean_dloo_ordered_best_minus_DC
WST,3,12,1,0,11,0.08333333333333333,0.08333333333333333,5.293453975938216,4.253675789339316
WST,5,12,2,0,10,0.16666666666666666,0.16666666666666666,4.189019369414609,2.7645147321131844
WST,8,12,7,3,2,0.5833333333333334,0.8333333333333334,6.464830464416082,-51.82996947913982
SST,3,12,2,4,6,0.3333333333333333,0.5,3.3023098119012957,-2.2387863819784952
SST,5,12,2,5,5,0.4166666666666667,0.5833333333333334,2.1609350410641737,-14.475270242653702
SST,8,12,0,12,0,1,1,0,-128.0216878832542
