gen_model,kappa_mean,fit_model,n,ari,vi,exact_K,K_abs_err,looic,best_vi,best_ari,best_exact
WST,0.75,WST,27,0.8139129416281871,0.8498036514372226,0.4444444444444444,1.037037037037037,5363.852377987331,0.8498036514372226,0.8261830512290002,0.4444444444444444
WST,0.75,DC-SBM,27,0.8261830512290002,0.9892104784974004,0.4074074074074074,1.5925925925925926,5379.069923543992,0.8498036514372226,0.8261830512290002,0.4444444444444444
WST,1.5,WST,27,0.9224972249486404,0.20976010818226196,0.7777777777777778,0.2222222222222222,7427.899845130483,0.20976010818226196,0.9224972249486404,0.8518518518518519
WST,1.5,SST,27,0.9178910569633585,0.25694790156618247,0.8518518518518519,0.18518518518518523,7446.6716925083465,0.20976010818226196,0.9224972249486404,0.8518518518518519
WST,3,WST,27,0.9837064666926046,0.12305005702221482,0.8888888888888888,0.14814814814814814,9894.160781564558,0.12305005702221482,0.9837064666926046,0.8888888888888888
WST,6,WST,27,0.9984153842021862,0.006204918846187703,1,0,12567.103755680722,0.006204918846187703,0.9984153842021862,1
SST,0.75,WST,30,0.8087641533067443,0.9012719003965476,0.43333333333333335,1.1666666666666665,5579.034008296629,0.9012719003965476,0.8258784638645879,0.4666666666666667
SST,0.75,SST,30,0.8258784638645879,0.9176977191626187,0.4666666666666667,1.3,5576.5308195315,0.9012719003965476,0.8258784638645879,0.4666666666666667
SST,1.5,WST,30,0.9011861305435916,0.31593179985578784,0.6666666666666666,0.4333333333333333,7540.480056493873,0.31593179985578784,0.9011861305435916,0.6666666666666666
SST,3,WST,29,0.9696558166150908,0.11923552920336791,0.896551724137931,0.10344827586206896,9861.94027934213,0.11923552920336791,0.9700361074581821,0.9310344827586207
SST,3,SST,29,0.9700361074581821,0.13142996987048844,0.9310344827586207,0.0689655172413793,9854.359767922102,0.11923552920336791,0.9700361074581821,0.9310344827586207
SST,6,WST,27,0.9836258751576965,0.045126673419832584,0.9629629629629629,0.037037037037037035,13074.510010919019,0.045126673419832584,0.9836258751576965,0.9629629629629629
SST,6,SST,27,0.9836258751576965,0.045126673419832584,0.9629629629629629,0.037037037037037035,13067.049401633285,0.045126673419832584,0.9836258751576965,0.9629629629629629
