"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",2,2,1,1.351,13057.53,0.489,430
"SST",2,2,0.6075,1.351,13002.83,0.494,201.7
"DCSBM",5,5,1,0,11866.84,0.487,74.2
