"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","theta_ocrp","ocrp_attempts","block_sizes_true","rate_kap","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","rep_id","density"
"SST","SST",4,3,3.04533333333333,"weak",3,3.24,0.2,0.09,1,1,"6;31;2;21",3,0.743528220309274,1.22852023098006,-5521.92369041245,11043.8473808249,0.0141242937853107,1000.898,1005,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.294385432473445,0,1,152.445046723007,0.03694154274813,0.704607046070461,0,1,207.256261752253,0.0317328442575895,0.376693766937669,0,1,176.447216581025,0.0365280778555854,0.557726214568937,0.522548204125493,0.588003418004052,336.301826983331,0.000908388411642096,1,1,1,0,NA,1,1,1,0,NA,0.920391061452514,0,1,184.570193670041,0.0199383777172542,0.270949720670391,0,1,156.135636546852,0.0355938991280341,0.363128491620112,0,1,480.652695906257,0.0219504724395994,0.19413407821229,0,1,372.107583538316,0.0205187790124135,1,0.920391061452514,0.51536312849162,1,0.920391061452514,0.51536312849162,1,1,1,0,0,0,0.973276821089455,0.897842768252367,0.9999403829382,0.0175801697245762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449651412900184,0.436006760160204,0.463865294286213,1356.408,3015.50133333333,716,0.448219536099314,1372,1,"dense"
"SST","DC-SBM",4,1,1,"weak",3,3.24,0.2,0.09,1,1,"6;31;2;21",3,1,1.51808182053062,-5546.81692123331,11093.6338424666,0,19.5619999999999,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,1,"dense"
"SST","WST",8,5,4.856,"strong",0.75,0.2025,1.3,0.09,1,1,"1;2;8;1;9;2;1;36",0.75,0.931669025865397,0.706957605837948,-2458.03395408434,4916.06790816868,0.00847457627118644,160.461,1007,1,1,1,0,NA,0.443526520928656,0,0.857142857142857,281,0.0127707369134416,0.87881064955533,0.4,1,282,0.0104155533467016,0.324289372959586,0,0.749107142857142,184.559548711636,0.0161560317082886,0.878772655634358,0.571428571428571,1,341.135384190916,0.0070196099956055,0.638517392772712,0.285714285714286,1,354.490286277254,0.00946985598454717,0.608264496897213,0.567394519408194,0.653173586949715,342.289359488877,0.00125285292095096,0.758510638297872,0.4,1,282,0.0129087589448342,0.341489361702128,0,0.7,282,0.0112698982402768,0.545035460992908,0.2,1,281.999999999999,0.0144203296788289,0.209219858156028,0,0.5,188.373230462293,0.0117724742251193,0.65886524822695,0.4,0.9,282,0.00969151196654478,0.474822695035461,0.2,0.8,282,0.0091891560419293,7.58510638297872,6.17375886524823,7.48581560283688,0.758510638297872,0.617375886524823,0.748581560283688,1,1,1,0,0,0,0.847344093918167,0.665060347858472,0.975092140320196,0.498693704377584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354594897347264,0.302839116719243,0.428467908902691,171.096075778078,471.016238159675,282,0.688524590163934,252,1,"sparse"
"SST","SST",8,4,4.72266666666667,"strong",0.75,0.2025,1.3,0.09,1,1,"1;2;8;1;9;2;1;36",0.75,0.84564940614263,0.819398226835728,-2460.52899704342,4921.05799408685,0.00903954802259887,444.232,1008,1,1,1,0,NA,1,1,1,0,NA,0.966499162479062,0.666666666666667,1,199,0.00769352397279534,0.342964824120603,0,1,183.379400295438,0.0211387384771588,0.931666666666667,0.5,1,200,0.0109367247671343,0.653333333333333,0,1,200,0.0207804185627935,0.658284521677334,0.59071817206607,0.734449651386164,200,0.00262433357839078,1,1,1,0,NA,1,1,1,0,NA,0.70875,0.25,1,88.3027512656989,0.0327498729680521,0.275,0,0.756250000000001,110.074442102346,0.023648209255115,0.74125,0.25,1,215.34246878757,0.0152164145945476,0.52,0,1,200,0.0189518034569631,4,2.935,3.185,1,0.73375,0.79625,1,1,1,0,0,0,0.945196721142626,0.865799084250726,0.993306344531043,0.193438750074241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344433363505436,0.29108896797153,0.419024172196816,163.18255033557,461.441610738255,200,0.693409742120344,242,1,"sparse"
"SST","DC-SBM",8,3,3.124,"strong",0.75,0.2025,1.3,0.09,1,1,"1;2;8;1;9;2;1;36",0.75,0.597805622281374,1.00889957969849,-2420.43344995609,4840.86689991219,0.027683615819209,40.681,1009,1,1,1,0,NA,0.233390119250426,0,1,420.185670636905,0.0206527583200459,1,1,1,0,NA,0.15220700152207,0,1,245.388203832826,0.0229491260973612,0.941071428571429,0,1,364.830415575002,0.0123400477767519,0.616071428571428,0,1,560,0.020570026280044,0.6831128785413,0.592827588500459,0.760475809848019,237.629649398663,0.00283202111304269,0.889393939393939,0,1,836.724964456972,0.0108511169010435,0.207575757575757,0,1,495.505293664853,0.0182335949800859,0.995454545454545,1,1,660,0.00262033410408685,0.151515151515152,0,1,245.756620987,0.022888995032079,0.798484848484848,0,1,392.227257933225,0.0202697114874339,0.522727272727273,0,1,491.327974217181,0.0225509272262561,0.889393939393939,0.995454545454545,0.848484848484848,0.889393939393939,0.995454545454545,0.848484848484848,0.998484848484849,1,1,0.00144697477329863,0.000182629070172507,0.000191233957556688,0.91723515636654,0.777441791376455,0.999626624072684,1.39566949840455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378609804130577,0.353909844331001,0.414542524958928,127.452,336.750666666667,660,0.686346863468635,186,1,"sparse"
"SST","WST",4,4,4.06933333333333,"strong",3,3.24,1.3,0.09,1,2,"7;12;4;37",3,1,0,-5785.913831971,11571.827663942,0.000564971751412429,381.523,1005,1,1,1,0,NA,0.801144492131617,0.5,1,823.248164221318,0.00740205720709494,1,1,1,0,NA,0.75,0.75,0.75,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.696996136724964,0.670214423569289,0.721260632608703,813.451250836192,0.000459779054956688,1,1,1,0,NA,0.801144492131617,0.5,1,823.248164221318,0.00740205720709494,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,0.25,0.25,0.25,0,NA,4,4,1,1,1,0.25,1,1,1,0,0,0,0.963384823297697,0.900746513281538,0.994453725783756,0.231938125053184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284395989507297,0.284373274434014,0.284731774415406,1030.30133333333,3622.76933333333,699,0.466593042517946,1690,1,"dense"
"SST","SST",4,4,4.03466666666667,"strong",3,3.24,1.3,0.09,1,2,"7;12;4;37",3,1,0,-5782.50767971339,11565.0153594268,0.00169491525423729,1089.044,1006,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.700062122637821,0.681991210946619,0.71764981256636,724,0.000351940938474988,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,0.25,0.25,0.25,0,NA,4,4,1,1,1,0.25,1,1,1,0,0,0,0.973216347791838,0.933741416483395,0.996978301030816,0.164028863604445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284384038095721,0.284373274434014,0.284532324621733,1030.124,3622.29866666667,724,0.466593042517946,1690,1,"dense"
"SST","DC-SBM",4,4,4,"strong",3,3.24,1.3,0.09,1,2,"7;12;4;37",3,1,0,-5782.94608529764,11565.8921705953,0,44.733,1007,1,1,1,0,NA,0.691333333333333,0.5,1,844.465135555637,0.0075095111547637,1,1,1,0,NA,0.75,0.75,0.75,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.709833460332283,0.682651125987958,0.734953301743879,799.451132635904,0.000468214302346854,0.999333333333333,1,1,750,0.000666666666666665,0.690666666666667,0.5,1,862.306743263972,0.00742526835782875,1,1,1,0,NA,0.75,0.75,0.75,0,NA,0.25,0.25,0.25,0,NA,0.25,0.25,0.25,0,NA,3.99733333333333,4,1,0.999333333333333,1,0.25,1,1,1,0,0,0,0.952344795898394,0.889536658915906,0.99043178738526,0.346041656012132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284373274434014,0.284373274434014,0.284373274434014,1030,3622,750,0.466593042517946,1690,1,"dense"
"WST","WST",4,3,3.98,"weak",0.75,0.2025,0.2,0.09,1,6,"1;7;5;47",0.75,0.641856142927802,0.428712804956275,-3689.15305749922,7378.30611499844,0.0112994350282486,175.691,1010,1,1,1,0,NA,0.553398058252427,0,1,353.952614197848,0.0264888580796016,1,1,1,0,NA,0.693333333333333,0,1,94.6979556773655,0.0475429931433584,0.073170731707317,0,1,23.465637036691,0.0539790248912451,0.073170731707317,0,1,23.465637036691,0.0539790248912451,0.601279364725732,0.535008542646475,0.690367750584197,83.9610103318864,0.00438897402830085,0.789272030651341,0,1,261,0.0252922679187237,0.436781609195402,0,1,261,0.0307598286396195,0.574712643678161,0,1,129.613513344324,0.0435085940722258,0.398467432950192,0,1,198.436781282789,0.0348215806590859,0.0344827586206897,0,1,52.1771741950817,0.025308961198442,0.0344827586206897,0,1,52.1771741950817,0.025308961198442,0.789272030651341,0.574712643678161,0.471264367816092,0.789272030651341,0.574712643678161,0.471264367816092,1,1,1,0,0,0,0.937735456370851,0.737255344890533,0.999819121493315,0.403899711841862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44238698123033,0.429806076493917,0.464551109871913,485.477333333333,1095.36533333333,261,0.561611374407583,474,1,"sparse"
"WST","SST",4,4,3.84133333333333,"weak",0.75,0.2025,0.2,0.09,1,6,"1;7;5;47",0.75,0.907536264590464,0.37800309950578,-3688.80005392608,7377.60010785216,0.0101694915254237,753.792,1011,1,1,1,0,NA,1,1,1,0,NA,0.968454258675079,0.666666666666667,1,230.081514558448,0.006442675902748,0.559411146161935,0,1,171.685832412596,0.0268231651303713,0.71113074204947,0,1,283,0.0211865283687247,0.279740871613663,0,1,283,0.0226409059226734,0.59229282357112,0.547834585834855,0.660861783144604,172.56464972505,0.00225527390373565,1,1,1,0,NA,1,1,1,0,NA,0.689628482972136,0.25,1,323,0.0161338135181283,0.421826625386997,0,1,323,0.0176332173176148,0.281733746130031,0,0.75,323,0.0116999374468042,0.108359133126935,0,0.5,303.736023561286,0.00950307207498675,4,2.85139318885449,1.60681114551084,1,0.712848297213622,0.401702786377709,1,1,1,0,0,0,0.977588660747426,0.9369555099048,0.998980521915145,0.08374751830056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441719896094336,0.429536720947764,0.463440154658087,485.942666666667,1097.51733333333,323,0.564356435643564,513,1,"sparse"
