Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\hat K$,$E[K\mid y]$,ARI,VI,NVI,OCRP tries,true block sizes
SST,4,kappa_5,strong,1,DC-SBM,4,4.00,1.000,0.000,0.000,68,7;8;22;11
SST,4,kappa_5,strong,1,SST,4,4.00,1.000,0.000,0.000,68,7;8;22;11
SST,4,kappa_5,strong,1,WST,4,4.32,1.000,0.000,0.000,68,7;8;22;11
SST,4,kappa_5,strong,2,DC-SBM,4,4.00,1.000,0.000,0.000,66,7;8;22;11
SST,4,kappa_5,strong,2,SST,4,4.00,1.000,0.000,0.000,66,7;8;22;11
SST,4,kappa_5,strong,2,WST,4,4.29,1.000,0.000,0.000,66,7;8;22;11
SST,4,kappa_5,strong,3,DC-SBM,4,4.00,1.000,0.000,0.000,64,7;8;22;11
SST,4,kappa_5,strong,3,SST,4,4.00,1.000,0.000,0.000,64,7;8;22;11
SST,4,kappa_5,strong,3,WST,4,4.21,1.000,0.000,0.000,64,7;8;22;11
WST,4,kappa_5,strong,1,DC-SBM,4,4.00,1.000,0.000,0.000,67,7;8;22;11
WST,4,kappa_5,strong,1,SST,4,4.53,1.000,0.000,0.000,67,7;8;22;11
WST,4,kappa_5,strong,1,WST,4,4.19,1.000,0.000,0.000,67,7;8;22;11
WST,4,kappa_5,strong,2,DC-SBM,4,4.00,1.000,0.000,0.000,65,7;8;22;11
WST,4,kappa_5,strong,2,SST,4,4.60,1.000,0.000,0.000,65,7;8;22;11
WST,4,kappa_5,strong,2,WST,4,4.22,1.000,0.000,0.000,65,7;8;22;11
WST,4,kappa_5,strong,3,DC-SBM,4,4.00,1.000,0.000,0.000,63,7;8;22;11
WST,4,kappa_5,strong,3,SST,4,4.59,1.000,0.000,0.000,63,7;8;22;11
WST,4,kappa_5,strong,3,WST,4,4.20,1.000,0.000,0.000,63,7;8;22;11
