Gen,$K^\star$,Density,Hierarchy,Rep,Model,ELPD (SE),$\Delta$ELPD (SE),$|\Delta|>2SE$,LOOIC,PSIS $k>0.7$,ELPD winner
SST,4,kappa_5,strong,1,WST,-3446.6 (46.1),-5.1 (2.0),\checkmark,6893.1,0.02,
SST,4,kappa_5,strong,1,DC-SBM,-3443.9 (46.4),-2.4 (1.4),,6887.9,0.00,
SST,4,kappa_5,strong,1,SST,-3441.5 (46.3),0.0 (0.0),,6883.0,0.00,\checkmark
SST,4,kappa_5,strong,2,WST,-3448.3 (46.2),-6.2 (2.1),\checkmark,6896.7,0.03,
SST,4,kappa_5,strong,2,DC-SBM,-3442.8 (46.4),-0.7 (1.5),,6885.7,0.00,
SST,4,kappa_5,strong,2,SST,-3442.1 (46.4),0.0 (0.0),,6884.2,0.00,\checkmark
SST,4,kappa_5,strong,3,WST,-3448.1 (46.2),-6.3 (2.0),\checkmark,6896.2,0.02,
SST,4,kappa_5,strong,3,DC-SBM,-3443.4 (46.4),-1.6 (1.4),,6886.8,0.00,
SST,4,kappa_5,strong,3,SST,-3441.8 (46.3),0.0 (0.0),,6883.6,0.00,\checkmark
WST,4,kappa_5,strong,1,SST,-3619.2 (54.5),-317.3 (23.5),\checkmark,7238.4,0.02,
WST,4,kappa_5,strong,1,WST,-3315.9 (43.4),-14.0 (3.7),\checkmark,6631.8,0.02,
WST,4,kappa_5,strong,1,DC-SBM,-3301.9 (44.1),0.0 (0.0),,6603.8,0.00,\checkmark
WST,4,kappa_5,strong,2,SST,-3615.1 (54.2),-312.8 (22.9),\checkmark,7230.1,0.02,
WST,4,kappa_5,strong,2,WST,-3315.6 (43.4),-13.4 (3.9),\checkmark,6631.1,0.02,
WST,4,kappa_5,strong,2,DC-SBM,-3302.2 (44.1),0.0 (0.0),,6604.4,0.00,\checkmark
WST,4,kappa_5,strong,3,SST,-3616.3 (54.3),-313.5 (23.1),\checkmark,7232.5,0.02,
WST,4,kappa_5,strong,3,WST,-3315.8 (43.4),-13.0 (3.8),\checkmark,6631.5,0.01,
WST,4,kappa_5,strong,3,DC-SBM,-3302.8 (44.1),0.0 (0.0),,6605.6,0.00,\checkmark
