Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,4,kappa_5,strong,3,-5.9 (0.7),0/3,-4.3 (1.5),0/2,1.6 (0.9),0/0,0.000/0.000/0.000
WST,4,kappa_5,strong,3,301.1 (2.0),3/0,-13.4 (0.5),0/3,-314.5 (2.4),0/3,0.000/0.000/0.000
