"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",2,2,0.4762,2.0261,16752.21,0.465,462.2
"SST",3,3,1,0,15787.94,0.414,218
"DCSBM",3,3,1,0,12623.21,0.502,48.7
