Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,4,kappa_2,strong,10,-0.9 (4.5),1/3,-1.9 (2.8),0/3,-1.0 (2.8),0/0,0.149/0.103/0.150
WST,4,kappa_2,strong,10,5.7 (7.2),2/0,-3.1 (1.5),0/3,-8.9 (6.4),0/3,0.064/0.082/0.064
