gen_model,kappa_mean,psi_mean,fit_model_clean,mean_vi,pr_KeqKstar,viol_partition_mean,viol_partition_lo,viol_partition_hi
SST,0.75,0.2,WST,0.2999825886418402,0.6666666666666666,0.3593980428036432,0.3472059937834653,0.3729863614945632
SST,0.75,0.2,SST,0.30079604753051026,0.4166666666666667,0.3601161479774005,0.33889564760109847,0.3984205968923035
SST,0.75,0.2,DC,1.0329630703047832,0.3333333333333333,0.386134291385917,0.3805392656424107,0.39343759067175377
SST,0.75,1.3,WST,0.17050721656151285,0.5833333333333334,0.12895746569324282,0.12510026584219483,0.13504958802091144
SST,0.75,1.3,SST,0.09328811381900333,0.75,0.128964441193828,0.1233917309056854,0.14016017125602812
SST,0.75,1.3,DC,0.08829518510956334,0.6666666666666666,0.1293455092094447,0.12242983989186929,0.13754604722106736
SST,1.5,0.2,WST,0.09898443212527663,0.75,0.35185921531622255,0.3489137621393021,0.35896766007438585
SST,1.5,0.2,SST,0.09093833105019185,0.75,0.34366360507716176,0.3352823625201159,0.35267560248514523
SST,1.5,0.2,DC,0.08885341944099098,0.8333333333333334,0.34613911755256865,0.34294069781644265,0.3499698934650642
SST,1.5,1.3,WST,0.1284532360645425,0.5833333333333334,0.117631105436063,0.1143685982117947,0.12082965919271532
SST,1.5,1.3,SST,0.04155843082518817,1,0.12088552713733082,0.11947183504798847,0.1251428279517591
SST,1.5,1.3,DC,0.04498662708510589,0.8333333333333334,0.12661328731730104,0.12529517676144655,0.12755453874793846
SST,3,0.2,WST,0.016114628632536192,1,0.36640702515872425,0.3657046050038643,0.36769625944032935
SST,3,0.2,SST,0.006012704456551862,1,0.35388743414149526,0.3526811892719675,0.35654486748266917
SST,3,0.2,DC,0.024457809445097525,0.9166666666666666,0.3528560940787924,0.35240043007197885,0.35392457189736143
SST,3,1.3,WST,0.06873961752288996,0.6666666666666666,0.11993006206989719,0.1198089425311568,0.12011281273724626
SST,3,1.3,SST,0.02270504258178943,1,0.10757588536537036,0.10742992408031565,0.10842549733334104
SST,3,1.3,DC,0.02270504258178943,1,0.11235114114974834,0.1122694341303983,0.11257720868372445
WST,0.75,0.2,WST,0.5383404404094245,0.3333333333333333,0.42478543543086317,0.40488044043980814,0.4490844661092454
WST,0.75,0.2,SST,0.5258645257090363,0.25,0.4268839497424433,0.402322499677501,0.4586160514113094
WST,0.75,0.2,DC,1.5298076139773278,0.08333333333333333,0.4288452024421898,0.421668808937028,0.4337853932128348
WST,0.75,1.3,WST,0.2204223836355252,0.5,0.219549678706203,0.2140402895619685,0.228644690769115
WST,0.75,1.3,SST,0.18406958565277934,0.5833333333333334,0.2151076329604509,0.20887455039406258,0.23007403244709718
WST,0.75,1.3,DC,0.5840942715141175,0.4166666666666667,0.25701849876241983,0.24449548458837816,0.26354056000587844
WST,1.5,0.2,WST,0.1362683502559436,0.8333333333333334,0.41924720282528427,0.41315011711764343,0.42795387904538235
WST,1.5,0.2,SST,0.15616620774606954,0.8333333333333334,0.42363261660016033,0.4102310694829254,0.4439981359696396
WST,1.5,0.2,DC,0.1464889669419648,0.5,0.4316299565309799,0.42642235610527157,0.43611421472987283
WST,1.5,1.3,WST,0.059427395679041435,0.8333333333333334,0.23529903601364308,0.23289068614090017,0.24042264590396967
WST,1.5,1.3,SST,0.06270053752448286,0.8333333333333334,0.22135980210399508,0.21954747744674125,0.22728786396115058
WST,1.5,1.3,DC,0.2754467637108924,0.8333333333333334,0.24181827758677282,0.23598345250949265,0.24565365821114415
WST,3,0.2,WST,0.1402366654049541,0.75,0.4382212532185725,0.437187011842276,0.43958334360034906
WST,3,0.2,SST,0.14069793458181776,0.75,0.4342993482271079,0.42517212597814774,0.4441067043630502
WST,3,0.2,DC,0.158402620092354,0.6666666666666666,0.43989368247152444,0.4388294490473879,0.44152872154626444
WST,3,1.3,WST,0.014032583896203425,1,0.2424256797506114,0.24228413807926374,0.24247972473441576
WST,3,1.3,SST,0.014032583896203425,1,0.22713925616932584,0.2269490613612935,0.2272199224692966
WST,3,1.3,DC,0.01133806712762651,0.9166666666666666,0.231168769262047,0.23059596497697615,0.23118895537705592
