"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"SST","strong",0.75,5,"WST",4,4.5,0.577350269189626,0.5,0.5,0,0.825344041786773,0.148200190374416,0.491722830747135,-2556.02491308499,205.439545793347,0.00960451977401128
"SST","strong",0.75,5,"DC-SBM",4,4.75,0.5,0.75,0.25,0,0.968817732253646,0.0393957737003086,0.224646572272493,-2513.37852027805,182.342177062658,0.0124293785310735
"SST","strong",0.75,8,"SST",4,9,0.816496580927726,0.25,0,0.75,0.819478276396291,0.148788413019453,0.570317273987206,-3245.84314464613,595.580568658853,0.109604519774012
"SST","strong",0.75,8,"WST",4,5.5,1.73205080756888,0.25,0.75,0,0.676036205853733,0.231078103921012,0.89924446023677,-2338.93233444824,22.8820616793351,0.00677966101694915
"SST","strong",0.75,8,"DC-SBM",4,7,0.816496580927726,0.25,0.75,0,0.800468163187721,0.165223416810504,0.50440662839816,-2249.79116813101,27.3276892209563,0.0176553672316384
"SST","strong",1.5,3,"SST",4,3,0,1,0,0,0.975416666666667,0.0491666666666665,0.0954656523719856,-3306.44836820707,593.891258792634,0.0100282485875706
"SST","strong",1.5,3,"WST",4,3,0,1,0,0,0.975416666666667,0.0491666666666665,0.0954656523719856,-3306.34458617383,595.987728258373,0.00225988700564972
"SST","strong",1.5,3,"DC-SBM",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-3304.32604718284,595.762794686681,0.0129943502824859
"SST","strong",1.5,5,"SST",4,5,0,1,0,0,0.959285683747988,0.0566196096337082,0.149632411474291,-3299.00153382465,155.136261840836,0.0502824858757061
"SST","strong",1.5,5,"WST",4,4.75,0.5,0.75,0.25,0,0.862327778649022,0.167782019244729,0.361795464144579,-3250.78219524543,121.699665602479,0.00522598870056498
"SST","strong",1.5,5,"DC-SBM",4,5,0,1,0,0,0.959285683747988,0.0566196096337082,0.149632411474291,-3212.52108080154,126.201637534579,0.00240112994350282
"SST","strong",1.5,8,"SST",4,8,0,1,0,0,1,0,0,-3065.30466329361,269.00527448353,0.0290960451977401
"SST","strong",1.5,8,"WST",4,6,0,0,1,0,0.746448902625442,0.071559011858466,0.507932287331038,-3203.18327018909,229.536845732945,0.0038135593220339
"SST","strong",1.5,8,"DC-SBM",4,7.5,0.577350269189626,0.5,0.5,0,0.961145867632532,0.077708264734936,0.120632810332186,-3083.21388071408,257.511133447279,0.00254237288135593
"SST","strong",3,3,"SST",4,3,0,1,0,0,0.975461868487873,0.0490762630242535,0.0793701899335793,-4763.5837335035,406.576910197475,0.0142655367231639
"SST","strong",3,3,"WST",4,3,0,1,0,0,0.975461868487873,0.0490762630242535,0.0793701899335793,-4790.27598863177,423.523099726701,0.00522598870056497
"SST","strong",3,3,"DC-SBM",4,3,0,1,0,0,0.975461868487873,0.0490762630242535,0.0793701899335793,-4762.37683029036,407.273448722615,0.00254237288135593
"SST","strong",3,5,"SST",4,5,0,1,0,0,0.989303843364757,0.021392313270486,0.041883202211766,-4266.29781688671,286.645238190745,0.000706214689265537
"SST","strong",3,5,"WST",4,5,0,1,0,0,0.989303843364757,0.021392313270486,0.041883202211766,-4303.4052567515,293.637184127755,0.0019774011299435
"SST","strong",3,5,"DC-SBM",4,5,0,1,0,0,0.989303843364757,0.021392313270486,0.041883202211766,-4269.18971045703,287.335216767602,0.000423728813559322
"SST","strong",3,8,"SST",4,8,0,1,0,0,1,0,0,-4076.27280517157,143.904514438365,0.00353107344632768
"SST","strong",3,8,"WST",4,6.5,0.577350269189626,0,1,0,0.786477263491261,0.0794419740069566,0.414311174469905,-4389.49254242548,151.503400745869,0.00112994350282486
"SST","strong",3,8,"DC-SBM",4,8,0,1,0,0,1,0,0,-4088.10842492782,142.90463442531,0
"SST","strong",6,3,"SST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-6112.96971395552,270.470747376169,0
"SST","strong",6,3,"WST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-6114.24528263304,270.468528940133,0
"SST","strong",6,3,"DC-SBM",4,3,0,1,0,0,1,0,4.44089209850063e-16,-6112.68615162033,270.546145724409,0
"SST","strong",6,5,"SST",4,5,0,1,0,0,1,0,0,-5732.44843604223,365.823684820076,0
"SST","strong",6,5,"WST",4,5,0,1,0,0,1,0,0,-5802.38462479087,422.748973862587,0
"SST","strong",6,5,"DC-SBM",4,5,0,1,0,0,1,0,0,-5734.11620441361,367.738396114051,0.000141242937853107
"SST","strong",6,8,"SST",4,8,0,1,0,0,1,0,0,-6040.85400147545,1967.0860133107,0.0471751412429378
"SST","strong",6,8,"WST",4,8,0,1,0,0,1,0,0,-5573.15814137417,351.570467738733,0
"SST","strong",6,8,"DC-SBM",4,7.75,0.5,0.75,0.25,0,0.956372375333138,0.0872552493337235,0.0666666666666667,-5245.66668519964,447.771462739731,0.00296610169491525
"SST",NA,0.75,3,"SST",4,2,0.816496580927726,0.25,0.75,0,0.727331149948371,0.260696511681351,0.962398651957726,-2942.4437126018,91.0136887978402,0.00720338983050849
"SST",NA,0.75,3,"WST",4,2,0.816496580927726,0.25,0.75,0,0.72463494514024,0.263953586625634,1.05474776685621,-2940.93809181233,90.0216247924398,0.00550847457627119
