run_id: DemoOCRPvar_run_20260605_103108
first_rep_tasks: 2
cores: 2
first_rep_parallel_waves: 1
remaining_parallel_waves: 0
seconds_per_wave_estimate: 249.046
first_rep_elapsed_seconds: 249.046
estimated_total_seconds: 249.046
estimated_remaining_seconds_after_rep1: 0
estimated_total_hours: 0.069
estimated_remaining_hours_after_rep1: 0
snapshot_csv: output/simulation/raw/DemoOCRPvar_runs/DemoOCRPvar_run_20260605_103108/snapshot_after_rep1_DemoOCRPvar_run_20260605_103108.csv
