Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,4,kappa_2,strong,1,-1.9 (--),0/0,-4.3 (--),0/1,-2.4 (--),0/0,0.353/0.178/0.353
WST,4,kappa_2,strong,1,0.2 (--),0/0,-2.7 (--),0/0,-2.9 (--),0/0,0.000/0.000/0.000
