Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\hat K$,$E[K\mid y]$,ARI,VI,NVI,OCRP tries,true block sizes
SST,4,kappa_2,strong,1,DC-SBM,4,4.00,0.913,0.353,0.177,--,15;15;15;15
SST,4,kappa_2,strong,1,SST,4,4.36,0.955,0.178,0.089,--,15;15;15;15
SST,4,kappa_2,strong,1,WST,4,4.44,0.913,0.353,0.177,--,15;15;15;15
WST,4,kappa_2,strong,1,DC-SBM,4,4.00,1.000,0.000,0.000,--,15;15;15;15
WST,4,kappa_2,strong,1,SST,4,4.37,1.000,0.000,0.000,--,15;15;15;15
WST,4,kappa_2,strong,1,WST,4,4.18,1.000,0.000,0.000,--,15;15;15;15
