Gen,$K^\star$,Density,Hierarchy,Rep,ELPD winner,VI winner,ARI winner,Exact K models,Block sizes,$\vartheta$
SST,4,kappa_2,strong,1,DC-SBM,SST,SST,WST/SST/DC-SBM,15;15;15;15,0.78
WST,4,kappa_2,strong,1,DC-SBM,WST/SST/DC-SBM,WST/SST/DC-SBM,WST/SST/DC-SBM,15;15;15;15,0.78
