Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),Sig. WST$-$SST,ELPD WST$-$DC (SE),Sig. WST$-$DC,ELPD SST$-$DC (SE),Sig. SST$-$DC,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
SST,4,kappa_2,strong,1,-1.9 (2.1),,-4.3 (1.5),\checkmark,-2.4 (2.6),,0.353,0.178,0.353,4/4/4
WST,4,kappa_2,strong,1,0.2 (3.2),,-2.7 (1.5),,-2.9 (3.3),,0.000,0.000,0.000,4/4/4
