Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\widehat\zeta_W^{blk}$,$\widehat\zeta_S^{blk}$,Block coverage,Violation mean,Violation $\hat z$,$p_{post}(WST)$,$p_{post}(SST)$
SST,4,kappa_2,strong,1,DC-SBM,1.000,0.998,1.000,0.361,0.459,--,--
SST,4,kappa_2,strong,1,SST,1.000,0.999,1.000,0.342,0.470,--,--
SST,4,kappa_2,strong,1,WST,1.000,0.997,1.000,0.342,0.459,--,--
WST,4,kappa_2,strong,1,DC-SBM,1.000,0.500,1.000,0.184,0.502,--,--
WST,4,kappa_2,strong,1,SST,1.000,0.500,1.000,0.184,0.502,--,--
WST,4,kappa_2,strong,1,WST,1.000,0.500,1.000,0.185,0.502,--,--
