Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),Sig. WST$-$SST,ELPD WST$-$DC (SE),Sig. WST$-$DC,ELPD SST$-$DC (SE),Sig. SST$-$DC,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
SST,8,kappa_0.25,app_sparse,1,-4.7 (4.1),,38.8 (7.5),\checkmark,43.6 (9.2),\checkmark,1.393,1.508,2.308,7/6/4
WST,8,kappa_0.25,app_sparse,1,7.5 (4.2),,-14.8 (2.9),\checkmark,-22.3 (5.6),\checkmark,1.450,1.320,1.450,4/4/4
