Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,8,kappa_0.25,app_sparse,1,-4.7 (--),0/0,38.8 (--),1/0,43.6 (--),1/0,1.393/1.508/2.308
WST,8,kappa_0.25,app_sparse,1,7.5 (--),0/0,-14.8 (--),0/1,-22.3 (--),0/1,1.450/1.320/1.450
