Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\hat K$,$E[K\mid y]$,ARI,VI,NVI,OCRP tries,true block sizes
WST,8,kappa_0.6,app_moderate_nonToeplitz,1,DC-SBM,6,6.00,0.923,0.291,0.097,140,3;4;17;5;3;20;4;8
WST,8,kappa_0.6,app_moderate_nonToeplitz,1,SST,9,8.33,0.946,0.301,0.100,140,3;4;17;5;3;20;4;8
WST,8,kappa_0.6,app_moderate_nonToeplitz,1,WST,8,7.94,1.000,0.000,0.000,140,3;4;17;5;3;20;4;8
