"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",2,2,0.467,2.0261,12106.05,0.5,18285.3
"SST",2,2,0.4883,1.9596,12107.68,0.488,6019.1
"DCSBM",2,2,1,0.6667,11371.88,0.514,37.4
