Gen,$K^\star$,Density,Hierarchy,Rep,Model,$\widehat\zeta_W^{blk}$,$\widehat\zeta_S^{blk}$,Block coverage,Violation mean,Violation $\hat z$,$p_{post}(WST)$,$p_{post}(SST)$
SST,8,kappa_0.6,app_moderate,1,DC-SBM,1.000,0.702,1.000,0.220,0.434,--,--
SST,8,kappa_0.6,app_moderate,1,SST,0.999,0.885,0.950,0.220,0.439,--,--
SST,8,kappa_0.6,app_moderate,1,WST,1.000,0.862,0.960,0.224,0.439,--,--
WST,8,kappa_0.6,app_moderate,1,DC-SBM,1.000,0.340,1.000,0.128,0.398,--,--
WST,8,kappa_0.6,app_moderate,1,SST,1.000,0.408,1.000,0.103,0.464,--,--
WST,8,kappa_0.6,app_moderate,1,WST,1.000,0.402,1.000,0.104,0.464,--,--
