Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,8,kappa_0.6,app_moderate,1,16.2 (--),1/0,-11.5 (--),0/0,-27.7 (--),0/1,0.216/0.216/0.399
WST,8,kappa_0.6,app_moderate,1,-6.5 (--),0/0,0.4 (--),0/0,6.9 (--),0/0,0.640/0.640/0.589
