Gen,Model,ELPD wins,VI wins,ARI wins,Exact K,Scenarios
SST,DC-SBM,1,0,0,0,1
SST,SST,0,1,1,0,1
SST,WST,0,1,1,0,1
WST,DC-SBM,0,1,0,0,1
WST,SST,1,0,1,0,1
WST,WST,0,0,1,0,1
