Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),Sig. WST$-$SST,ELPD WST$-$DC (SE),Sig. WST$-$DC,ELPD SST$-$DC (SE),Sig. SST$-$DC,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
SST,8,kappa_0.6,app_moderate,1,16.2 (4.8),\checkmark,-11.5 (5.9),,-27.7 (9.0),\checkmark,0.216,0.216,0.399,6/6/5
WST,8,kappa_0.6,app_moderate,1,-6.5 (5.9),,0.4 (7.0),,6.9 (10.0),,0.640,0.640,0.589,7/7/6
