"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","DC-SBM",3,1,1.096,"weak",0.75,0.2025,0.2,0.09,0.75,1,1.58496250072116,-2771.13462355524,5542.26924711048,0.0395480225988701,133.352,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470133746306887,0.333333333333333,0.562051971326165,29.4247572815534,66.3300970873786,4088,NA,NA,1
"SST","DC-SBM",3,2,2.00422222222222,"medium",0.75,0.2025,0.7,0.09,0.75,0.515201314708299,0.666666666666667,-2938.85061947781,5877.70123895562,0.0220338983050847,195.818,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587595641785083,0.583185840707965,0.588025022341376,658.067111111111,1119.93866666667,4481,0.411974977658624,461,1
"SST","DC-SBM",3,3,3,"strong",0.75,0.2025,1.3,0.09,0.75,0.897926110855616,0.385413533281858,-2986.3172049527,5972.63440990539,0.0146892655367232,261.993,1006,1,1,1,0,NA,0.896222222222222,0,1,3999.36956447236,0.00482294744148654,1,1,1,0,NA,0.999555555555556,1,1,4500.00000000021,0.000314234751971471,0.810671256454389,0,1,2900.97233838798,0.00727480187521138,0.733218588640275,0,1,3221.21240678432,0.00779376191635977,0.680191606431677,0.64451397474081,0.713951162770919,2296.19374510276,0.000375102456135523,1,1,1,0,NA,0.896222222222222,0,1,3999.36956447236,0.00482294744148654,1,1,1,0,NA,0.999555555555556,1,1,4500.00000000021,0.000314234751971471,0.628,0,1,3280.31422908597,0.00843998798188211,0.568,0,1,2732.80606978872,0.00947676027391479,1,1,0.774666666666667,1,1,0.774666666666667,1,1,1,0,0,0,0.970508167151743,0.887642008388933,0.999951773682652,0.187406913706732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313145021838188,0.305656934306569,0.321892393320965,340.029111111111,1085.90933333333,4500,0.306985294117647,334,1
"SST","DC-SBM",3,3,3,"weak",1.5,0.81,0.2,0.09,1.5,1,4.44089209850063e-16,-4228.80328819065,8457.6065763813,0.00847457627118644,260.221,1007,1,1,1,0,NA,0.952713178294574,0,1,2580.00000000005,0.00417951104809795,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.586103387823841,0.564093625451059,0.610205827340461,4500.00000000001,0.00017502440112387,0.573333333333333,0,1,4499.99999999963,0.00737377627962564,0.546222222222222,0,1,4500.00000000012,0.00742246738243461,1,1,1,0,NA,1,1,1,0,NA,0.983111111111111,1,1,4524.40309020038,0.00191588508568546,0.983111111111111,1,1,4524.40309020038,0.00191588508568546,0.573333333333333,1,0.983111111111111,0.573333333333333,1,0.983111111111111,1,1,1,0,0,0,0.972294608046087,0.892373812524916,0.998492917662105,0.235351303009298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394842496116189,0.394865987164968,0.394865987164968,1045.91555555556,2648.94355555556,4500,0.394110985277463,1044,1
"SST","DC-SBM",3,3,3,"medium",1.5,0.81,0.7,0.09,1.5,0.901847473951493,0.317480759734316,-3378.72004935634,6757.44009871268,0.0129943502824859,258.616,1008,1,1,1,0,NA,0.970444444444444,0,1,4500.00000000001,0.00252491583539966,1,1,1,0,NA,1,1,1,0,NA,0.948879551820728,0,1,4284.00000000029,0.00336533911287843,0.61671335200747,0,1,4283.99999999992,0.00742898503789373,0.704890509163473,0.68104406764597,0.727679984842386,4236.52407877285,0.000183893109130909,1,1,1,0,NA,0.970444444444444,0,1,4500.00000000001,0.00252491583539966,1,1,1,0,NA,1,1,1,0,NA,0.903333333333333,0,1,4500.0000000002,0.00440559319939896,0.587111111111111,0,1,4214.54988233791,0.00758489213056485,1,1,0.952,1,1,0.952,1,1,1,0,0,0,0.978610114287817,0.931270402156708,0.999734011876729,0.175446566890258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29560292464625,0.291772151898734,0.300124533001245,471.559333333333,1595.19622222222,4500,0.295112781954887,471,1
"SST","DC-SBM",3,3,3,"strong",1.5,0.81,1.3,0.09,1.5,1,4.44089209850063e-16,-3637.96600204115,7275.93200408231,0,256.825,1009,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.690063087601444,0.662346810559985,0.716096060891797,4500.00000000001,0.000206024812919444,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,0,0,0,0.994976861736013,0.974534405221633,0.999995321193599,0.0434736080841797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281779661016949,0.281779661016949,0.281779661016949,399,1416,4500,0.281779661016949,399,1
"SST","DC-SBM",3,3,3,"weak",3,3.24,0.2,0.09,3,1,4.44089209850063e-16,-5036.49414669634,10072.9882933927,0.00169491525423729,259.763,1010,0.591597459697118,0,1,2046.99999999998,0.0108668720342568,0.0591108939912066,0,1,2047.00000000008,0.00521374959600441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101351351351351,0,0,295.999999999999,0.00583165359312978,0.0101351351351351,0,0,295.999999999999,0.00583165359312978,0.519877881774407,0.496578595917124,0.543339295661195,4499.99999999999,0.000193454852577668,0.269111111111111,0,1,4499.9999999998,0.00661200994257409,0.0268888888888889,0,1,4500.00000000022,0.00241162427858947,0,0,0,0,NA,0,0,0,0,NA,0.000666666666666667,0,0,4500.00000000029,0.000384814617564836,0.000666666666666667,0,0,4500.00000000029,0.000384814617564836,0.454888888888889,0,0.0657777777777778,0.454888888888889,0,0.0657777777777778,0.445111111111111,0,1,0.223106249904115,0.0429998431219006,0.101839898230884,0.745801647752286,0.170732941670929,0.992888961486358,0.127957591345631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478572325059396,0.477837837837838,0.478634775597958,1779.85044444444,3719.08088888889,4500,0.478634775597958,1781,1
"SST","DC-SBM",3,3,3,"medium",3,3.24,0.7,0.09,3,1,4.44089209850063e-16,-4945.4438351004,9890.8876702008,0,261.376,1011,1,1,1,0,NA,0.992222222222222,1,1,4500.00000000006,0.0013097072856848,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664123386188192,0.631673134338751,0.693697512995931,4102.55337102973,0.000248924321664495,1,1,1,0,NA,0.992222222222222,1,1,4500.00000000006,0.0013097072856848,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,0,1,1,0,1,1,1,0,0,0,0.991406679760521,0.970929418027845,0.999982182040084,0.0969934658159285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499700059988002,0.499700059988002,0.499700059988002,1666,3334,4500,0.378224355128974,1261,1
"SST","DC-SBM",3,3,3,"strong",3,3.24,1.3,0.09,3,1,4.44089209850063e-16,-4558.32922132377,9116.65844264755,0,258.278,1012,1,1,1,0,NA,0.998,1,1,3738.9160159532,0.00073072787347295,1,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730892006570349,0.707259384015148,0.754061313859628,4302.7428532857,0.000182820002982437,1,1,1,0,NA,0.998,1,1,3738.9160159532,0.00073072787347295,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,0,1,1,0,1,1,1,0,0,0,0.992922705613719,0.972433513136878,0.999987222648781,0.0918853856203432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234285714285714,0.234285714285714,0.234285714285714,533,2275,4500,0.234285714285714,533,1
"SST","DC-SBM",3,3,3,"weak",6,12.96,0.2,0.09,6,1,4.44089209850063e-16,-6881.57028236499,13763.14056473,0,261.011,1013,1,1,1,0,NA,0.638341264445955,0,1,4412.99999999997,0.00723366159372068,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,0.534360990713821,0.52170663020839,0.547735968647589,4304.30734837925,0.000103334550949768,0.980666666666667,1,1,4500.00000000002,0.00205284462401733,0.626,0,1,4500.00000000012,0.00721381451136634,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0,0,0,0,NA,0.980666666666667,1,1,0.980666666666667,1,1,1,1,1,0,0,0,0.954306798996244,0.822718289466405,0.999958103008326,0.0122249897472722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464883401920439,0.464883401920439,0.464883401920439,3389,7290,4500,0.464883401920439,3389,1
