Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,4,kappa_5,verystrong,2,-3.4 (2.0),0/1,-3.3 (0.5),0/0,0.1 (2.5),0/0,0.000/0.000/0.000
WST,4,kappa_5,verystrong,2,-9.1 (0.2),0/1,-7.7 (0.5),0/1,1.4 (0.3),0/0,0.000/0.000/0.000
