"family","n_param_settings","n_nonempty_settings","mean_coverage","q95_coverage","support_share"
"WST",36,36,0.0826584863197281,0.5,0.220527992717342
"SST",36,36,0.0581980478430255,0.444444444444444,0.142922166590806
"LST",36,36,0.016341728619835,0,0.0323167956304051
"Toeplitz_SST",36,36,0.00802546401658733,0,0.0158170232134729
