# source, target, time, date
6,15,1096,2013
6,22,1097,2013
6,11,1103,2013
6,20,1126,2014
6,20,1131,2014
6,16,1173,2014
6,24,1182,2014
6,24,1199,2014
6,0,1340,2015
6,22,1346,2015
6,26,1352,2015
6,0,1353,2015
6,27,1355,2015
6,26,1356,2015
6,24,1375,2015
6,24,1377,2015
6,24,1380,2015
6,20,1500,2015
6,20,1501,2015
6,24,1684,2016
6,30,1731,2016
7,5,8,2009
7,8,12,2009
7,0,15,2009
7,12,21,2009
7,0,31,2009
7,10,39,2009
7,14,122,2010
7,14,123,2010
7,14,124,2010
7,14,125,2010
7,0,209,2010
7,10,335,2011
7,19,372,2011
7,13,386,2011
7,17,387,2011
7,17,389,2011
7,19,392,2011
7,19,393,2011
7,19,394,2011
7,19,402,2011
7,19,403,2011
7,19,411,2011
7,14,419,2011
7,13,423,2011
7,5,447,2011
7,4,455,2011
7,19,462,2011
7,19,463,2011
7,19,464,2011
7,19,465,2011
7,5,469,2011
7,5,470,2011
7,5,471,2011
7,5,472,2011
7,5,473,2011
7,5,474,2011
7,17,481,2011
7,12,494,2011
7,12,495,2011
7,6,497,2011
7,15,515,2011
7,4,522,2011
7,4,523,2011
7,4,524,2011
7,16,528,2012
7,16,529,2012
7,16,530,2012
7,16,531,2012
7,10,613,2012
7,10,627,2012
7,10,628,2012
7,18,630,2012
7,18,631,2012
7,18,633,2012
7,18,635,2012
7,17,636,2012
7,15,637,2012
7,14,641,2012
7,15,652,2012
7,14,762,2012
7,2,772,2012
7,2,797,2012
7,12,964,2013
8,5,9,2009
8,4,38,2009
8,10,63,2010
8,10,64,2010
8,10,65,2010
8,13,74,2010
8,13,75,2010
8,15,84,2010
8,16,97,2010
8,13,100,2010
8,13,101,2010
8,4,132,2010
8,5,134,2010
8,5,135,2010
8,15,142,2010
8,10,154,2010
8,12,157,2010
8,12,158,2010
8,12,159,2010
8,10,160,2010
8,10,164,2010
8,4,165,2010
8,4,167,2010
8,4,168,2010
8,12,174,2010
8,12,175,2010
8,12,176,2010
8,12,177,2010
8,12,178,2010
8,12,179,2010
8,12,180,2010
