source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,1,2,1-2,1,90,-9.48232711073267,5.488867423786892,1.7275562294763174,-0.10535919011925193,0.43333333333333335,3.4555555555555557,1.588888888888889,1.8666666666666663,3.4555555555555557,-0.27777777777777757
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,2,4,2-4,2,288,-6.6123705485945825,2.6463574541299755,2.4986687033813753,-0.022959619960397862,0.21180555555555555,2.5138888888888884,0.9513888888888886,1.5625,2.5138888888888884,-0.6111111111111109
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,1,1,1-1,0,10,-3.428148000141821,2.626281687290467,1.305323803128917,-0.342814800014182,0.5,3.7,2.1,1.6,3.7,0.5
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,2,3,2-3,1,18,1.4870992238635272,1.13903903996221,1.3055735332064342,0.08261662354797375,0.5,3.8333333333333335,0.6666666666666666,3.1666666666666665,3.8333333333333335,-2.5
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,1,4,1-4,3,80,-1.062970728317591,2.3660718818157465,0.4492554670409494,-0.013287134103969886,0.325,4.35,1.1624999999999999,3.1875,4.35,-2.0250000000000004
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,1,3,1-3,2,5,0.833587445767943,0.7416630753425482,1.123943571523954,0.1667174891535886,0.8,2.4,0,2.4,2.4,-2.4
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,2,2,2-2,0,153,0.4044370600613244,0.5023402354340126,0.8051058456663307,0.0026433794775249956,0.5294117647058824,3.320261437908497,1.679738562091503,1.6405228758169936,3.320261437908497,0.03921568627450994
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,3,4,3-4,1,16,-0.06704632843026306,0.12368593621211585,0.5420691348067384,-0.004190395526891443,0.4375,7.625,4.75,2.875,7.625,1.875
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,SST_minus_DC,4,4,4-4,0,120,0.05801195504052274,0.24008298279712653,0.2416329319331377,4.834329586710221e-4,0.5083333333333333,3.3583333333333334,1.725,1.6333333333333335,3.3583333333333334,0.0916666666666667
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,WST_minus_DC,3,4,3-4,1,16,14.07251852823985,5.11524102238227,2.751095885152641,0.8795324080149906,0.75,7.625,4.75,2.875,7.625,1.875
loo_pointwise_rep001_scn_001_SST_K4_kappa_5_verystrong_seed1001.csv,SST,4,kappa_5,verystrong,1,scn_001,1,OCRP,WST_minus_DC,1,3,1-3,2,5,5.021251682831807,4.1260314553176345,1.216968832450468,1.0042503365663613,0.8,2.4,0,2.4,2.4,-2.4
