"gen_model","fit_model","K_true","K_hat","K_p.mean","hierch","kappa_mean","kappa_var","psi_mean","psi_var","rate_kap","ari","vi","elpd","looic","pk_bad","time","seed","thetaW_block_model_mean","thetaW_block_model_lo","thetaW_block_model_hi","thetaW_block_model_ess","thetaW_block_model_mcse","thetaS_block_model_mean","thetaS_block_model_lo","thetaS_block_model_hi","thetaS_block_model_ess","thetaS_block_model_mcse","thetaW_block_emp_mean","thetaW_block_emp_lo","thetaW_block_emp_hi","thetaW_block_emp_ess","thetaW_block_emp_mcse","thetaS_block_emp_mean","thetaS_block_emp_lo","thetaS_block_emp_hi","thetaS_block_emp_ess","thetaS_block_emp_mcse","thetaW_item_emp_mean","thetaW_item_emp_lo","thetaW_item_emp_hi","thetaW_item_emp_ess","thetaW_item_emp_mcse","thetaS_item_emp_mean","thetaS_item_emp_lo","thetaS_item_emp_hi","thetaS_item_emp_ess","thetaS_item_emp_mcse","bar_rho_model_mean","bar_rho_model_lo","bar_rho_model_hi","bar_rho_model_ess","bar_rho_model_mcse","thetaW_block_model_all_mean","thetaW_block_model_all_lo","thetaW_block_model_all_hi","thetaW_block_model_all_ess","thetaW_block_model_all_mcse","thetaS_block_model_all_mean","thetaS_block_model_all_lo","thetaS_block_model_all_hi","thetaS_block_model_all_ess","thetaS_block_model_all_mcse","thetaW_block_emp_all_mean","thetaW_block_emp_all_lo","thetaW_block_emp_all_hi","thetaW_block_emp_all_ess","thetaW_block_emp_all_mcse","thetaS_block_emp_all_mean","thetaS_block_emp_all_lo","thetaS_block_emp_all_hi","thetaS_block_emp_all_ess","thetaS_block_emp_all_mcse","thetaW_item_emp_all_mean","thetaW_item_emp_all_lo","thetaW_item_emp_all_hi","thetaW_item_emp_all_ess","thetaW_item_emp_all_mcse","thetaS_item_emp_all_mean","thetaS_item_emp_all_lo","thetaS_item_emp_all_hi","thetaS_item_emp_all_ess","thetaS_item_emp_all_mcse","prem_block_model_avg","prem_block_emp_avg","prem_item_emp_avg","coverage_block_model_avg","coverage_block_emp_avg","coverage_item_emp_avg","transitive_triads_mean","transitive_triads_lo.2.5.","transitive_triads_hi.97.5.","cycle_mass_weighted_mean","min_backward_weight_mean","min_backward_weight_norm_mean","hierarchy_energy_mean","hierarchy_energy_lo.2.5.","hierarchy_energy_hi.97.5.","curl_energy_mean","p_post_wst","p_prior_wst","bf_wst_0","log_bf_wst_0","p_post_sst","p_prior_sst","bf_sst_0","log_bf_sst_0","bf_sst_wst","log_bf_sst_wst","bf_prior_mc","violation_rate_mean","violation_rate_lo.2.5.","violation_rate_hi.97.5.","violation_count_mean","cross_mass_mean","n_draws_K_match","violation_rate_zhat","violation_count_zhat","rep_id"
"SST","WST",3,4,3.74577777777778,"medium",0.75,0.2025,0.7,0.09,0.75,0.733408274372369,0.916043809486421,-3130.0960663558,6260.1921327116,0.000564971751412429,690.055000000008,1147,1,1,1,0,NA,0.3908276714021,0,1,1271.11096575855,0.00865019763418545,0.951222016841241,0.5,1,1296.72559837075,0.00399419853919119,0.389505031834052,0,1,1185.53401401167,0.0093875913023389,0.835565476190476,0,1,1348.97435369147,0.00686788945697013,0.492063492063492,0,1,1680.00000000002,0.00826056990153217,0.585465919921907,0.548034256306027,0.630409371363343,1710.99999999999,0.000503336445327949,0.697983635300994,0,1,1327.21950432807,0.00829061338055671,0.267095265926359,0,0.75,1711,0.00532016120629391,0.627995324371712,0,1,1248.10589067525,0.00894042439806742,0.2416715371128,0,0.5,1710.99999999997,0.00468863010881261,0.526738749269433,0,1,1710.99999999997,0.00597173731789243,0.306838106370544,0,0.75,1711.00000000002,0.00546193759233614,2.79193454120397,2.62770309760374,2.52367036820573,0.697983635300994,0.656925774400935,0.630917592051432,1,1,1,0,0,0,0.871307665701969,0.685001559252311,0.981076832197737,0.33582716770238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410760601108728,0.401114206128134,0.425398305562604,455.545333333333,1108.89733333333,1711,0.414611872146119,454,3
"SST","SST",3,3,3.47511111111111,"medium",0.75,0.2025,0.7,0.09,0.75,0.799267207537294,0.639339364385529,-3136.76438250043,6273.52876500085,0.000564971751412429,2860.693,1148,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.00810910431256911,0,0,2712.99999999995,0.00172216021859659,0.886276391554703,0,1,2084.00000000008,0.00695609126090856,0.284069097888676,0,1,1727.17109163772,0.0108538569249249,0.591021127827952,0.557033247820493,0.623253828609577,834.488067814364,0.000586708163979283,1,1,1,0,NA,1,1,1,0,NA,0.986186841148673,1,1,1137.05720362078,0.00346189503679649,0.00799709196655761,0,0,2751.00000000016,0.00169846331473595,0.671392221010542,0,1,2313.57451355736,0.0097670694341449,0.215194474736459,0,1,2352.55673765812,0.00847433209482887,1,0.986186841148673,0.757542711741185,1,0.986186841148673,0.757542711741185,1,1,1,0,0,0,0.955250561800601,0.892818233784717,0.999861951843571,0.0743677971075029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413924927692327,0.401256732495512,0.467991227016452,454.754,1098.53533333333,2751,0.409820585457979,434,3
"SST","DC-SBM",3,1,1,"medium",0.75,0.2025,0.7,0.09,0.75,1,1.58496250072116,-3212.34822374585,6424.69644749169,0,78.5969999999943,1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,3
"SST","WST",3,3,3.822,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2953.7738193405,5907.54763868101,0.0468926553672316,694.145000000004,1148,1,1,1,0,NA,0.989853438556934,1,1,1342.14922342713,0.00273632028866371,1,1,1,0,NA,0.998318385650224,1,1,1047.66494277474,0.00126621742176152,0.999432140829074,1,1,1760.99999999996,0.000567859170925617,0.997160704145372,1,1,553.650142939408,0.0022620048818046,0.6513296631958,0.612819972252415,0.687054210101239,1576.05809621192,0.000475085000206597,0.993837535014006,1,1,1044.19333570571,0.00242251322441251,0.98375350140056,1,1,1222.6957868682,0.00361647536953879,0.999439775910364,1,1,1785,0.000560224089635855,0.997759103641457,1,1,1230.58885410505,0.00134830744177632,0.985994397759104,1,1,1784.99999999997,0.00278221503228194,0.98375350140056,1,1,1114.75617629538,0.00378751861391953,0.993837535014006,0.999439775910364,0.98655462184874,0.993837535014006,0.999439775910364,0.98655462184874,1,1,1,0,0,0,0.990434500800165,0.969436462058565,0.999993714250046,0.118238828833687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326297285105855,0.32183908045977,0.340016688829194,406.214444444444,1244.49355555556,1785,0.323456790123457,393,3
"SST","SST",3,3,3.28866666666667,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2953.31979438816,5906.63958877631,0.0581920903954802,2781.31300000001,1149,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.999088976617067,1,1,3292.99999999994,0.000525819796010426,0.99969512195122,1,1,3280,0.000304878048780488,0.995121951219512,1,1,741.856215968362,0.00255839481476638,0.644975523309601,0.615023533624652,0.675703426954298,2416.20666117637,0.000323736802102222,1,1,1,0,NA,1,1,1,0,NA,0.999696417729205,1,1,3294.00000000001,0.000303582270795385,0.998785670916818,1,1,2272.78893505383,0.000730618607473347,0.995446265938069,1,1,1046.31454660663,0.00208174506348649,0.990892531876138,1,1,517.445482317103,0.00417681980843234,1,0.999696417729205,0.995749848208865,1,0.999696417729205,0.995749848208865,1,1,1,0,0,0,0.985006049970283,0.96688100059572,0.999831043842948,0.16591419919569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324293194821885,0.322475570032573,0.333333333333333,396.988666666667,1223.99711111111,3294,0.323456790123457,393,3
"SST","DC-SBM",3,3,3,"strong",0.75,0.2025,1.3,0.09,0.75,1,4.44089209850063e-16,-2946.25605837147,5892.51211674295,0,162.563999999998,1150,1,1,1,0,NA,0.986648865153538,1,1,3540.06951209751,0.00192922477880496,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.658579911909449,0.622781199699049,0.693804724825531,4500,0.000272205219833134,0.998666666666667,1,1,2550.8001710254,0.000722586239798805,0.985333333333333,1,1,3596.22613365661,0.00200485081917365,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,1,1,1,0,NA,0.998666666666667,1,1,0.998666666666667,1,1,1,1,1,0,0,0,0.992213471391774,0.971868142909563,0.999982155066465,0.0948359824338909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323456918857909,0.323456790123457,0.323456790123457,393.000444444444,1215.00088888889,4500,0.323456790123457,393,3
"SST","WST",3,2,3.04333333333333,"weak",1.5,0.81,0.2,0.09,1.5,0.934717848327517,0.841825750089636,-3640.945453066,7281.890906132,0.00112994350282486,712.296000000002,1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45279898576417,0.442227243451321,0.466605513795642,644.564,1423.00311111111,1458,0.447619047619048,564,3
"SST","SST",3,2,2.764,"weak",1.5,0.81,0.2,0.09,1.5,0.934717848327517,0.841825750089636,-3641.2913611453,7282.58272229059,0.00338983050847458,3017.923,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453925233941266,0.446165762974438,0.46743788984331,632.424222222222,1392.28088888889,1945,0.447619047619048,564,3
"SST","DC-SBM",3,2,2,"weak",1.5,0.81,0.2,0.09,1.5,0.934717848327517,0.841825750089636,-3640.30182830478,7280.60365660956,0.000564971751412429,120.079999999987,1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451462558672071,0.446165762974438,0.457673853923854,580.316888888889,1285.33377777778,4500,0.447619047619048,564,3
"SST","WST",3,3,3.48155555555556,"medium",1.5,0.81,0.7,0.09,1.5,1,4.44089209850063e-16,-3736.21063478175,7472.42126956349,0.0282485875706215,807.747000000003,1150,1,1,1,0,NA,0.724085940444779,0,1,2653.00000000008,0.00867951010493993,1,1,1,0,NA,0.999257333828444,1,1,2693.00000000005,0.000525046739062024,0.928571428571429,0,1,98,0.0261491618623928,0.612244897959184,0,1,12.1753653375169,0.140354880153734,0.563508686325779,0.53659675219327,0.590800383058626,2693,0.000273969991702209,0.985146676568882,1,1,2273.36130062025,0.00253751538933022,0.713330857779428,0,1,2692.99999999996,0.00871562330351409,1,1,1,0,NA,0.999257333828444,1,1,2693.00000000005,0.000525046739062024,0.0337913108057928,0,1,840.826305824904,0.00623254600041829,0.0222799851466766,0,0,909.751631110474,0.00489422497416116,0.985146676568882,1,0.0363906424062384,0.985146676568882,1,0.0363906424062384,1,1,1,0,0,0,0.953839308734918,0.766031872376988,0.999962794385525,0.0371971092447949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44239446198711,0.437447645121346,0.448277216269593,783.984888888889,1772.11888888889,2693,0.441900400686892,772,3
