Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,8,kappa_0.25,app_sparse,10,0.4 (4.1),1/0,25.8 (17.9),9/0,25.4 (19.0),8/0,2.134/2.149/2.300
WST,8,kappa_0.25,app_sparse,10,-2.5 (9.6),1/3,19.5 (20.2),8/1,22.0 (25.0),8/1,1.507/1.407/1.548
