"dataset","fit_model","metric","new_value","existing_value","diff","matches_existing"
"high_school","SST","thetaW_block_emp_mean",0.965611039920849,0.965611039920849,-1.11022302462516e-16,TRUE
"high_school","DCSBM","thetaW_block_emp_mean",0.839492234852575,0.839492234852575,0,TRUE
"moreno_sheep","WST","thetaS_block_emp_mean",0.371976401179941,0.371976401179941,0,TRUE
"moreno_sheep","SST","thetaS_block_emp_mean",0.430901882413615,0.430901882413615,0,TRUE
"moreno_sheep","DCSBM","thetaS_block_emp_mean",0.438404694697997,0.438404694697997,0,TRUE
"strauss_2019b","WST","thetaS_block_emp_mean",0.384387444889453,0.384387444889453,0,TRUE
"strauss_2019b","SST","thetaS_block_emp_mean",0.461831106314114,0.461831106314114,0,TRUE
"strauss_2019b","DCSBM","thetaS_block_emp_mean",0.559724670788986,0.559724670788986,0,TRUE
"mountain_goats","WST","thetaS_block_emp_mean",0.535448751991503,0.535448751991503,0,TRUE
"mountain_goats","SST","thetaS_block_emp_mean",0.450260869565217,0.450260869565217,0,TRUE
"mountain_goats","DCSBM","thetaS_block_emp_mean",0.314577039274924,0.314577039274924,0,TRUE
"citations_data","WST","thetaS_block_emp_mean",0.419258888175466,0.419258888175466,0,TRUE
"citations_data","SST","thetaS_block_emp_mean",0.531572005605473,0.531572005605473,0,TRUE
"citations_data","DCSBM","thetaS_block_emp_mean",0.595238095238095,0.595238095238095,0,TRUE
"macaques_data","WST","thetaS_block_emp_mean",0.353031934444038,0.353031934444038,0,TRUE
"macaques_data","SST","thetaS_block_emp_mean",0.356150131833921,0.356150131833921,0,TRUE
"macaques_data","DCSBM","thetaS_block_emp_mean",0.327035734959232,0.327035734959232,0,TRUE
"high_school","WST","thetaS_block_emp_mean",0.306004065244198,0.306004065244198,0,TRUE
"high_school","SST","thetaS_block_emp_mean",0.405012094560435,0.405012094560435,0,TRUE
"high_school","DCSBM","thetaS_block_emp_mean",0.35650796587284,0.35650796587284,0,TRUE
"moreno_sheep","DCSBM","thetaW_block_model_mean",0.924560712147317,0.924560712147317,1.11022302462516e-16,TRUE
"strauss_2019b","DCSBM","thetaW_block_model_mean",0.915933460842958,0.915933460842958,-1.11022302462516e-16,TRUE
"mountain_goats","DCSBM","thetaW_block_model_mean",1,1,0,TRUE
"citations_data","DCSBM","thetaW_block_model_mean",0.954810442447286,0.954810442447286,1.11022302462516e-16,TRUE
"macaques_data","DCSBM","thetaW_block_model_mean",0.996406035457843,0.996406035457843,0,TRUE
"high_school","DCSBM","thetaW_block_model_mean",0.699758093002783,0.699758093002783,0,TRUE
"moreno_sheep","DCSBM","thetaS_block_model_mean",0.501754402043086,0.501754402043086,0,TRUE
"strauss_2019b","DCSBM","thetaS_block_model_mean",0.509791150295104,0.509791150295104,0,TRUE
"mountain_goats","DCSBM","thetaS_block_model_mean",0.359705438066465,0.359705438066465,0,TRUE
"citations_data","DCSBM","thetaS_block_model_mean",0.569053211869608,0.569053211869608,0,TRUE
"macaques_data","DCSBM","thetaS_block_model_mean",0.342722647219102,0.342722647219102,0,TRUE
"high_school","DCSBM","thetaS_block_model_mean",0.268580103223172,0.268580103223172,0,TRUE
"moreno_sheep","DCSBM","bar_rho_model_mean",0.825433846396817,0.825433846396817,0,TRUE
"strauss_2019b","DCSBM","bar_rho_model_mean",0.766462787592145,0.766462787592145,0,TRUE
"mountain_goats","DCSBM","bar_rho_model_mean",0.987252730810304,0.987252730810304,-1.11022302462516e-16,TRUE
"citations_data","DCSBM","bar_rho_model_mean",0.657417107030397,0.657417107030397,0,TRUE
"macaques_data","DCSBM","bar_rho_model_mean",0.936452434099604,0.936452434099604,0,TRUE
"high_school","DCSBM","bar_rho_model_mean",0.622717058916383,0.622717058916383,0,TRUE
"moreno_sheep","DCSBM","p_post_wst",0.276366435719784,0.502694380292533,-0.226327944572749,FALSE
"strauss_2019b","DCSBM","p_post_wst",0.0824143934997097,0.268136970400464,-0.185722576900754,FALSE
"mountain_goats","DCSBM","p_post_wst",1,1,0,TRUE
"citations_data","DCSBM","p_post_wst",0,0.000285714285714274,-0.000285714285714274,FALSE
"macaques_data","DCSBM","p_post_wst",0.561020036429872,0.77959927140255,-0.218579234972678,FALSE
"high_school","DCSBM","p_post_wst",0,0,0,TRUE
