source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_DC,2,3,2-3,1,100,-0.14520074150584117,0.5334837914289502,0.2721746074363707,-0.001452007415058409,0.46,5.95,4.15,1.7999999999999998,5.95,2.3499999999999996
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_DC,3,3,3-3,0,45,0.1069465218248915,0.22464245925606943,0.47607439029584075,0.0023765893738864766,0.4666666666666667,2.7555555555555555,1.3333333333333335,1.4222222222222223,2.7555555555555555,-0.08888888888888889
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_DC,2,2,2-2,0,45,0.0768873055089346,0.09392715961384833,0.8185843777777624,0.0017086067890874363,0.6,1.5333333333333334,0.8222222222222224,0.711111111111111,1.5333333333333334,0.11111111111111131
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_DC,4,4,4-4,0,45,-0.0660557916302613,0.1845651697220815,0.35789955238969634,-0.0014679064806724749,0.4666666666666667,5.7555555555555555,2.688888888888889,3.066666666666667,5.7555555555555555,-0.3777777777777777
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_DC,1,1,1-1,0,45,-0.03364758944219916,0.11890722250387016,0.28297347069143763,-7.477242098266486e-4,0.35555555555555557,2.7555555555555555,1.6444444444444444,1.1111111111111112,2.7555555555555555,0.5333333333333334
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,1,3,1-3,2,100,83.6772604231051,14.779516815544001,5.661704740922217,0.8367726042310509,0.7,9.6,4.88,4.720000000000001,9.6,0.15999999999999998
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,1,2,1-2,1,100,74.16622385572474,7.494125703318041,9.896581241343133,0.7416622385572473,0.86,3.7099999999999995,1.9799999999999998,1.7299999999999998,3.7099999999999995,0.25
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,2,3,2-3,1,100,27.38894105072162,6.553051501823448,4.1795705471108215,0.2738894105072163,0.7,5.95,4.15,1.7999999999999998,5.95,2.3499999999999996
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,1,4,1-4,3,100,0.17517000896621743,0.2546313766928443,0.6879356787891886,0.0017517000896621739,0.51,8.54,4.86,3.68,8.54,1.1799999999999986
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,1,1,1-1,0,45,-0.14840248777374482,0.06752572900676251,2.197717669347675,-0.0032978330616387744,0.2222222222222222,2.7555555555555555,1.6444444444444444,1.1111111111111112,2.7555555555555555,0.5333333333333334
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,3,3,3-3,0,45,0.10735015433304441,0.08327784227214853,1.289060227836218,0.0023855589851787644,0.6,2.7555555555555555,1.3333333333333335,1.4222222222222223,2.7555555555555555,-0.08888888888888889
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,4,4,4-4,0,45,0.08985591150738075,0.08663719190932105,1.0371517073340577,0.001996798033497351,0.5777777777777777,5.7555555555555555,2.688888888888889,3.066666666666667,5.7555555555555555,-0.3777777777777777
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,2,2,2-2,0,45,0.08097786984578115,0.10982627201265714,0.7373269470209158,0.0017995082187951363,0.4444444444444444,1.5333333333333334,0.8222222222222224,0.711111111111111,1.5333333333333334,0.11111111111111131
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,2,4,2-4,2,100,0.06876642591969681,0.7604939870483114,0.09042336572127076,6.876642591969645e-4,0.62,1.0599999999999998,0.5599999999999998,0.5,1.0599999999999998,0.059999999999999845
loo_pointwise_rep001_scn_001_WST_K4_kappa_5_hetero_seed1001.csv,WST,4,kappa_5,hetero,1,scn_001,1,BALANCED,WST_minus_SST,3,4,3-4,1,100,-0.027646033623589132,1.0013308200187525,0.02760929062691927,-2.764603362358929e-4,0.57,5.41,2.1,3.31,5.41,-1.2099999999999995
loo_pointwise_rep002_scn_001_WST_K4_kappa_5_hetero_seed1002.csv,WST,4,kappa_5,hetero,2,scn_001,1,BALANCED,SST_minus_DC,3,4,3-4,1,100,-114.27640544693045,18.1576736065719,6.293559842686554,-1.1427640544693047,0.24,2.9000000000000004,1.5400000000000003,1.36,2.9000000000000004,0.18000000000000013
loo_pointwise_rep002_scn_001_WST_K4_kappa_5_hetero_seed1002.csv,WST,4,kappa_5,hetero,2,scn_001,1,BALANCED,SST_minus_DC,1,2,1-2,1,100,-38.51387043700514,7.08177723975616,5.438447035695132,-0.38513870437005154,0.23,6.36,2.93,3.429999999999998,6.36,-0.5
