dataset,fit_model_best,K_best,elpd_loo_best,looic_best,psis_tail_share_best
citations_data,DCSBM,7,-29911.46359654896,59822.92719309792,0.4708603145235893
citations_data,SST,8,-88768.71147746542,177537.42295493084,0.6651248843663274
citations_data,WST,9,-21856.70670234977,43713.41340469953,0.2627197039777983
macaques_data,DCSBM,9,-13069.814242617616,26139.628485235233,0.387625594923321
macaques_data,SST,10,-3583.0300225942897,7166.060045188579,0.01374933897408778
macaques_data,WST,9,-11109.316088534117,22218.632177068233,0.6499206768905341
mountain_goats,DCSBM,4,-4353.076100832333,8706.152201664667,0.3747474747474748
mountain_goats,SST,6,-1232.459468260046,2464.918936520092,0.02323232323232323
mountain_goats,WST,6,-1723.3844094205635,3446.768818841127,0.34444444444444444
