"gen_model","K_true","density","hierch","rep_id","scenario_id","theta_ocrp","dgp_partition","dyad_id","i","j","Aij","Aji","Nij","zi_true","zj_true","same_true","elpd_WST","pareto_k_WST","elpd_SST","pareto_k_SST","elpd_DC_SBM","pareto_k_DC_SBM","delta_elpd_WST_minus_SST","delta_elpd_WST_minus_DC","delta_elpd_SST_minus_DC"
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",1,1,2,0,0,0,1,3,FALSE,-1.16375268479297,0.072183032294196,-1.15807140039416,0.121067719175987,-1.19534640668861,0.0569693760814586,-0.00568128439881743,0.0315937218956348,0.0372750062944522
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",2,1,3,2,2,4,1,1,TRUE,-3.5573449163573,0.130496503666208,-3.50100964448343,0.339447338407214,-3.56521557800697,0.202616683882197,-0.0563352718738681,0.00787066164967865,0.0642059335235468
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",3,2,3,0,0,0,3,1,FALSE,-1.06185046424245,0.132660270762837,-1.07201805272892,0.00367084101671265,-1.10848282990668,0.278709096398823,0.0101675884864738,0.0466323656642302,0.0364647771777564
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",4,1,4,2,0,2,1,4,FALSE,-2.5024657393948,0.0961373602802132,-2.42220006872621,-0.0835961975532694,-2.4462295321071,0.119197321170467,-0.0802656706685942,-0.0562362072876992,0.0240294633808951
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",5,2,4,0,0,0,3,4,FALSE,-0.721086495728399,0.189617013401947,-0.716958861967363,0.0994904481037921,-0.731852617844543,0.136200928275577,-0.00412763376103609,0.0107661221161441,0.0148937558771802
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",6,3,4,1,0,1,1,4,FALSE,-1.36659950791574,0.283734876343642,-1.32384301005535,-0.0741644496662339,-1.33859794126878,0.0755039173402973,-0.0427564978603812,-0.0280015666469557,0.0147549312134254
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",7,1,5,0,0,0,1,1,TRUE,-1.54944075215564,-0.0281747877690412,-1.55139544012445,0.150808026809501,-1.49140635002823,0.0767584759856254,0.00195468796881038,-0.0580344021274168,-0.0599890900962272
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",8,2,5,0,0,0,3,1,FALSE,-1.25741039669672,-0.097104164353606,-1.29765917885873,0.055424665035037,-1.30944296182195,0.0376488693308143,0.0402487821620143,0.0520325651252307,0.0117837829632164
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",9,3,5,2,1,3,1,1,TRUE,-3.29068783939302,0.10377355135474,-3.26249587075352,-0.088558746456481,-3.30028938063743,0.002823613500504,-0.0281919686394945,0.00960154124441104,0.0377935098839055
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",10,4,5,0,0,0,4,1,FALSE,-0.799963983287912,0.155791010215123,-0.809559228204297,0.107207072257174,-0.81592259559529,0.0318595359148149,0.00959524491638586,0.0159586123073785,0.00636336739099264
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",11,1,6,1,0,1,1,3,FALSE,-1.4818075311133,0.386522405785745,-1.46146158144751,0.0133783777643071,-1.47831872605596,-0.0718748056510057,-0.0203459496657921,-0.00348880505734162,0.0168571446084504
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",12,2,6,0,0,0,3,3,TRUE,-0.293466554902011,0.110044305959802,-0.304193697536159,0.225996914401211,-0.299249093611076,-0.0933714741966691,0.0107271426341482,0.00578253870906487,-0.00494460392508334
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",13,3,6,4,0,4,1,3,FALSE,-5.14710205215049,0.465924344271349,-4.99840362102934,0.128295936536497,-4.99734495857489,0.293742801493219,-0.148698431121149,-0.149757093575598,-0.00105866245444908
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",14,4,6,1,0,1,4,3,FALSE,-1.94592529735818,0.315405211849036,-2.02481854571114,0.0577687533598189,-1.95736132501296,0.125082470335052,0.0788932483529612,0.0114360276547734,-0.0674572206981878
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",15,5,6,1,1,2,1,3,FALSE,-2.20037121266895,0.145795971181531,-2.19962190971842,-0.033540886861555,-2.17957651316949,-0.112366761782122,-0.000749302950531217,-0.0207946994994543,-0.0200453965489231
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",16,1,7,1,2,3,1,1,TRUE,-3.20014047058808,-0.0387121256595896,-3.35085083531048,0.0248903871681539,-3.22356062516422,-0.0491424662759814,0.150710364722404,0.0234201545761481,-0.127290210146255
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",17,2,7,1,0,1,3,1,FALSE,-2.1257548374314,0.153714188027432,-2.14208482116439,0.225159496178759,-2.15241083826697,-0.106480752969724,0.0163299837329847,0.0266560008355725,0.0103260171025878
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",18,3,7,3,0,3,1,1,TRUE,-4.06066022261186,0.154404437243929,-4.07048492367727,0.210403143472076,-4.03938195921673,-0.0130901047681151,0.00982470106541111,-0.0212782633951285,-0.0311029644605396
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",19,4,7,0,1,1,4,1,FALSE,-1.39224414655139,0.0353235392559565,-1.37290521189762,0.00211150036328295,-1.36982011646414,-0.121762370288562,-0.0193389346537698,-0.02242403008725,-0.00308509543348023
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",20,5,7,0,1,1,1,1,TRUE,-1.67313415671372,-0.130767602156416,-1.70226513248896,-0.0256117805984124,-1.65436203851521,-0.346115679791657,0.0291309757752458,-0.0187721181985081,-0.0479030939737539
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",21,6,7,0,0,0,3,1,FALSE,-1.31805630183771,0.243730929588421,-1.38522153357842,0.178319751314083,-1.31993693157667,0.108361868431841,0.0671652317407112,0.0018806297389613,-0.0652846020017499
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",22,1,8,3,0,3,1,1,TRUE,-3.81705595849948,0.116523298357863,-3.79117110276671,0.307053276066047,-3.82371439239477,0.21467632788956,-0.0258848557327696,0.0066584338952973,0.0325432896280669
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",23,2,8,0,1,1,3,1,FALSE,-1.42296457478619,-0.0601209208904471,-1.39593798523613,0.0987320045247857,-1.40645744217223,0.284040568427721,-0.0270265895500552,-0.0165071326139641,0.0105194569360911
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",24,3,8,2,0,2,1,1,TRUE,-2.72404435478765,0.173066559235733,-2.72296293632643,0.574876116042801,-2.71908294634652,-0.000404326502195955,-0.00108141846121423,-0.00496140844112247,-0.00387998997990824
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",25,4,8,0,0,0,4,1,FALSE,-0.900463078970474,-0.031813900614,-0.912714595722735,-0.0506123930840585,-0.91317611555298,-0.0536071843741779,0.0122515167522605,0.0127130365825057,0.000461519830245116
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",26,5,8,0,1,1,1,1,TRUE,-1.65743980984251,-0.0250818902172138,-1.67776337439835,-0.0524520333328178,-1.62420526366939,0.0449804354611023,0.0203235645558388,-0.0332345461731167,-0.0535581107289556
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",27,6,8,1,0,1,3,1,FALSE,-2.22533228950493,0.18217498834811,-2.27148406259578,0.0512343649230828,-2.24260949595185,-0.307482397356874,0.0461517730908572,0.0172772064469227,-0.0288745666439345
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",28,7,8,2,0,2,1,1,TRUE,-3.01945103795606,-0.199467788633184,-3.10510921125079,0.0503796174760297,-3.04535009782722,-0.0327599960992672,0.0856581732947346,0.0258990598711613,-0.0597591134235733
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",29,1,9,1,0,1,1,4,FALSE,-1.3536521537768,0.164715499603772,-1.31390798387665,-0.0435281989296039,-1.3304612092633,0.0814935420903016,-0.0397441699001462,-0.0231909445135043,0.0165532253866418
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",30,2,9,1,0,1,3,4,FALSE,-1.5890089366298,-0.0402358001309773,-1.52134378472571,0.0945021910138534,-1.57326666165029,-0.138480126326208,-0.0676651519040954,-0.015742274979508,0.0519228769245874
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",31,3,9,0,1,1,1,4,FALSE,-2.29890105841676,0.0663075862214274,-2.40018474957402,0.38144317813771,-2.36067019873142,-0.143705161988348,0.101283691157262,0.0617691403146541,-0.0395145508426076
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",32,4,9,1,0,1,4,4,TRUE,-2.75300683121723,0.0808369084071337,-2.76137416802289,0.0806514261645438,-2.82256995102831,-0.000843534351132977,0.00836733680565871,0.0695631198110789,0.0611957830054202
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",33,5,9,0,0,0,1,4,FALSE,-0.801082503124324,-0.0485781161927329,-0.824537298817003,-0.0422094250896408,-0.805217023004043,0.0174329223231853,0.0234547956926798,0.00413451987971936,-0.0193202758129605
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",34,6,9,2,0,2,3,4,FALSE,-2.91203931083276,0.468970393819128,-2.76947364002377,0.122756873064247,-2.87647645435093,-0.0465409865177482,-0.142565670808991,-0.0355628564818327,0.107002814327158
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",35,7,9,0,0,0,1,4,FALSE,-0.798245031267153,0.0695949735320468,-0.791090532259701,0.306585680107994,-0.797148319770017,0.0949963096471092,-0.00715449900745213,-0.0010967114971363,0.00605778751031583
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",36,8,9,1,1,2,1,4,FALSE,-2.76719211608844,0.0450746350830043,-2.80184325802433,0.0902857650297117,-2.80284654397879,0.0723565813851538,0.0346511419358899,0.0356544278903517,0.00100328595446175
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",37,1,10,3,0,3,1,1,TRUE,-4.04640185233064,0.086970747835971,-4.02044126600652,0.331189444785559,-4.06003833797131,0.155840237885797,-0.0259605863241257,0.013636485640669,0.0395970719647947
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",38,2,10,0,0,0,3,1,FALSE,-0.930698814693423,0.140367680982095,-0.928073448403322,0.0755246623904222,-0.960859146192605,0.202119908002204,-0.00262536629010146,0.0301603314991814,0.0327856977892829
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",39,3,10,1,2,3,1,1,TRUE,-3.08526623769126,0.43185052308032,-3.0531906107625,0.54377990298993,-3.07574228877429,0.17446759184544,-0.0320756269287568,-0.00952394891697317,0.0225516780117836
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",40,4,10,0,0,0,4,1,FALSE,-0.746157830170685,-0.13106064169693,-0.746584448627011,0.069294880783126,-0.758356551474927,-0.0703623067831637,0.000426618456325301,0.0121987213042418,0.0117721028479165
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",41,5,10,0,0,0,1,1,TRUE,-1.23212535867288,-0.0729069666509984,-1.23113073554007,0.249141415839941,-1.1960607720378,0.129048936025128,-0.000994623132807071,-0.0360645866350824,-0.0350699635022753
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",42,6,10,0,1,1,3,1,FALSE,-1.41676429530487,0.148440956303374,-1.39751755011992,0.0915674741523584,-1.41114422349426,0.0917824739685926,-0.0192467451849492,-0.0056200718106032,0.013626673374346
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",43,7,10,0,1,1,1,1,TRUE,-1.73435977369856,0.112772103218445,-1.69851268095331,-0.0158730158556923,-1.72546734699912,0.0474988936013313,-0.0358470927452581,-0.0088924266994459,0.0269546660458122
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",44,8,10,1,0,1,1,1,TRUE,-1.86830881312217,0.381637479160141,-1.887754872103,0.137622734028053,-1.85662369559145,0.126065027261534,0.0194460589808312,-0.011685117530722,-0.0311311765115532
"SST",4,"kappa_2","strong",1,"SST_clean",0.784140858356203,"BALANCED",45,9,10,1,1,2,4,1,FALSE,-2.99417260014883,-0.106055135875521,-3.04998234741748,0.298822783961506,-3.0375067567111,0.0453208500746859,0.0558097472686532,0.0433341565622722,-0.0124755907063809
