gen_model,hierch,psi_mean,K_true,kappa_mean,model,best_elpd_rate,elpd_mean,psis_tail_mean
SST,weak,0.2,3,3,SST,0,-4909.688128943682,0.0029661016949152547
SST,weak,0.2,3,3,WST,0.25,-4819.0485705129395,0.004378531073446325
SST,weak,0.2,3,6,DCSBM,0.75,-6537.618261445083,0.0028248587570621478
SST,weak,0.2,3,6,SST,0,-6557.840507746438,0
SST,weak,0.2,3,6,WST,0.25,-6542.948762952582,0.003531073446327685
SST,weak,0.2,5,0.75,DCSBM,0.75,-2591.0050856602925,0.03898305084745762
SST,weak,0.2,5,0.75,SST,0.25,-2610.6776932080875,0.01624293785310734
SST,weak,0.2,5,0.75,WST,0,-2597.5305259923575,0.012570621468926553
SST,weak,0.2,5,1.5,DCSBM,0.75,-4093.03801826064,0.009180790960451986
SST,weak,0.2,5,1.5,SST,0,-4129.78857747682,0.01031073446327682
SST,weak,0.2,5,1.5,WST,0.25,-4094.7996081305428,0.01709039548022599
SST,weak,0.2,5,3,DCSBM,1,-5066.256966562957,0.001836158192090395
SST,weak,0.2,5,3,SST,0,-5325.1471628468225,0.0022598870056497176
SST,weak,0.2,5,3,WST,0,-5067.7791627195675,0.00706214689265537
SST,weak,0.2,5,6,DCSBM,0.75,-6378.011273447095,0.0016949152542372874
SST,weak,0.2,5,6,SST,0,-6621.599580088157,0.002542372881355933
SST,weak,0.2,5,6,WST,0.25,-6377.141069560863,0.0014124293785310752
SST,weak,0.2,8,0.75,DCSBM,0.25,-2757.7431790047226,0.032909604519774
SST,weak,0.2,8,0.75,SST,0,-2741.0656042584674,0.0032485875706214726
SST,weak,0.2,8,0.75,WST,0.75,-2715.60284499265,0.004378531073446327
SST,weak,0.2,8,1.5,DCSBM,0,-3896.124378160893,0.012711864406779676
SST,weak,0.2,8,1.5,SST,0,-3976.6491199090674,0.009180790960451955
SST,weak,0.2,8,1.5,WST,1,-3831.838876698535,0.012288135593220348
SST,weak,0.2,8,3,DCSBM,0,-5382.819686659075,0.00480225988700566
SST,weak,0.2,8,3,SST,0,-5746.6184342022425,0.006638418079096041
SST,weak,0.2,8,3,WST,1,-5308.085147856763,5.649717514124276e-4
SST,weak,0.2,8,6,DCSBM,0.75,-6522.929544405768,0
SST,weak,0.2,8,6,SST,0,-7337.299647406495,0.005790960451977407
SST,weak,0.2,8,6,WST,0.25,-6492.079029266208,1.41242937853105e-4
WST,medium,0.7,3,0.75,DCSBM,0.5,-2623.9444013702523,0.029096045197740096
WST,medium,0.7,3,0.75,SST,0.5,-2625.2587055081976,0.006073446327683622
WST,medium,0.7,3,0.75,WST,0,-2628.50204034995,0.004661016949152537
WST,medium,0.7,3,1.5,DCSBM,0.75,-3819.77899661671,0.006638418079096053
WST,medium,0.7,3,1.5,SST,0,-3823.4330865053053,0.00889830508474577
WST,medium,0.7,3,1.5,WST,0.25,-3820.1034476265077,0.005367231638418088
WST,medium,0.7,3,3,DCSBM,0.75,-4949.210600121713,0.005225988700564972
WST,medium,0.7,3,3,SST,0,-4969.558587012023,0.00988700564971751
WST,medium,0.7,3,3,WST,0.25,-4946.512356992597,0.005649717514124288
WST,medium,0.7,3,6,DCSBM,1,-6698.6456001067,2.8248587570621497e-4
WST,medium,0.7,3,6,SST,0,-6865.044088013147,2.8248587570621497e-4
WST,medium,0.7,3,6,WST,0,-6699.731424302898,0.001694915254237285
WST,medium,0.7,5,0.75,DCSBM,0.5,-2758.337432130755,0.037570621468926535
WST,medium,0.7,5,0.75,SST,0.25,-2789.3018259870723,0.012711864406779676
WST,medium,0.7,5,0.75,WST,0.25,-2755.99056462837,0.0050847457627118745
WST,medium,0.7,5,1.5,DCSBM,0.75,-3880.4715548146078,0.01454802259887004
WST,medium,0.7,5,1.5,SST,0,-3937.436654582185,0.009322033898305075
WST,medium,0.7,5,1.5,WST,0.25,-3881.0158189633776,0.01115819209039547
WST,medium,0.7,5,3,DCSBM,1,-5299.57212526484,0.0026836158192090403
WST,medium,0.7,5,3,SST,0,-5489.994031782105,0.005508474576271185
WST,medium,0.7,5,3,WST,0,-5300.799526425255,0.00324858757062147
WST,medium,0.7,5,6,DCSBM,1,-6580.910913681412,0.0018361581920903953
WST,medium,0.7,5,6,SST,0,-7102.83538001809,0.0048022598870056405
WST,medium,0.7,5,6,WST,0,-6582.249070538005,0.002259887005649717
WST,medium,0.7,8,0.75,DCSBM,0.25,-2661.95967292791,0.02033898305084747
WST,medium,0.7,8,0.75,SST,0,-2648.789581945575,0.012853107344632752
WST,medium,0.7,8,0.75,WST,0.75,-2629.4119012709198,0.011440677966101698
WST,medium,0.7,8,1.5,DCSBM,0.25,-3819.99744614236,0.011723163841807917
WST,medium,0.7,8,1.5,SST,0,-4012.94409053707,0.017090395480225992
WST,medium,0.7,8,1.5,WST,0.75,-3778.244441668155,0.007768361581920928
WST,medium,0.7,8,3,DCSBM,0.75,-4867.939228305075,0.002542372881355933
WST,medium,0.7,8,3,SST,0,-5275.612617890215,0.01242937853107346
WST,medium,0.7,8,3,WST,0.25,-4868.531281786243,0.00310734463276836
WST,medium,0.7,8,6,DCSBM,1,-6482.76721562537,0
WST,medium,0.7,8,6,SST,0,-7506.889113997049,0.007062146892655375
WST,medium,0.7,8,6,WST,0,-6493.54509077043,4.237288135593225e-4
WST,strong,1.3,3,0.75,DCSBM,1,-3114.2845824842225,0.010875706214689279
WST,strong,1.3,3,0.75,SST,0,-3119.9338667164375,0.02076271186440678
WST,strong,1.3,3,0.75,WST,0,-3119.836402685995,0.018361581920903956
WST,strong,1.3,3,1.5,DCSBM,1,-3514.2010955291075,0.00875706214689267
WST,strong,1.3,3,1.5,SST,0,-3528.528046180765,0.01497175141242938
WST,strong,1.3,3,1.5,WST,0,-3517.7103777591774,0.005790960451977403
WST,strong,1.3,3,3,DCSBM,1,-4689.94361544664,0
WST,strong,1.3,3,3,SST,0,-4699.31816021217,1.41242937853105e-4
WST,strong,1.3,3,3,WST,0,-4692.389814076172,0.0025423728813559355
WST,strong,1.3,3,6,DCSBM,1,-5781.244734051343,0
WST,strong,1.3,3,6,SST,0,-5796.9303057864145,0
WST,strong,1.3,3,6,WST,0,-5782.460025346043,0.0016949152542372874
WST,strong,1.3,5,0.75,DCSBM,0.75,-2528.9433791904726,0.029943502824858775
WST,strong,1.3,5,0.75,SST,0,-2554.21741822241,0.012994350282485906
WST,strong,1.3,5,0.75,WST,0.25,-2525.0330776731053,0.006920903954802265
WST,strong,1.3,5,1.5,DCSBM,1,-3769.41813934348,0.00098870056497175245
WST,strong,1.3,5,1.5,SST,0,-3866.395720818845,0.006073446327683607
WST,strong,1.3,5,1.5,WST,0,-3774.42394501101,0.0057909604519774
WST,strong,1.3,5,3,DCSBM,1,-4967.714215198305,0
WST,strong,1.3,5,3,SST,0,-5155.800296450565,0.00466101694915255
WST,strong,1.3,5,3,WST,0,-4970.069795977841,0.002401129943502825
WST,strong,1.3,5,6,DCSBM,1,-6202.274569495067,0
WST,strong,1.3,5,6,SST,0,-6549.143240181327,0.0019774011299435023
WST,strong,1.3,5,6,WST,0,-6204.472571592072,0
WST,strong,1.3,8,0.75,DCSBM,0.25,-2535.2419716721224,0.032627118644067775
WST,strong,1.3,8,0.75,SST,0.25,-2547.241082440665,0.016807909604519777
WST,strong,1.3,8,0.75,WST,0.5,-2539.5536780396296,0.00847457627118645
WST,strong,1.3,8,1.5,DCSBM,0.5,-3443.31654885114,0.011723163841807915
WST,strong,1.3,8,1.5,SST,0.25,-3533.6351040486124,0.011440677966101688
WST,strong,1.3,8,1.5,WST,0.25,-3440.817034438445,0.008474576271186451
WST,strong,1.3,8,3,DCSBM,0.5,-4890.760514064832,0
WST,strong,1.3,8,3,SST,0,-5325.77173316657,0.0031073446327683626
WST,strong,1.3,8,3,WST,0.5,-4878.882740663723,0.0011299435028248575
WST,strong,1.3,8,6,DCSBM,0.75,-6077.227037960458,0
WST,strong,1.3,8,6,SST,0,-7464.075439791675,0.003389830508474575
WST,strong,1.3,8,6,WST,0.25,-6051.4108095343,5.649717514124276e-4
WST,weak,0.2,3,0.75,DCSBM,0.75,-2764.6431241760824,0.012005649717514125
WST,weak,0.2,3,0.75,SST,0,-2767.735316584935,0.0033898305084745775
WST,weak,0.2,3,0.75,WST,0.25,-2766.262718094265,0.005225988700564973
