gen_model,model,n,ari_mean,ari_sd,nvi_mean,vi_mean,exact_K,mean_K_hat,elpd_mean,psis_tail_mean,best_elpd_rate,best_ari_rate,best_nvi_rate,violation_rate
SST,DCSBM,144,0.8856862157055062,0.16019300442322973,0.20300911051469592,0.4815634353477229,0.5694444444444444,4.458333333333334,-4519.371560900192,0.01104048964218456,0.6041666666666666,0.6736111111111112,0.6666666666666666,0.40930386217713016
SST,SST,144,0.8175708740573236,0.20140913825387383,0.3776979535843358,0.9286595274012144,0.2847222222222222,3.333333333333333,-4694.418261908789,0.007234777150031389,0.034722222222222224,0.5208333333333334,0.3333333333333333,0.3998101141786512
SST,WST,144,0.9146376726302009,0.1527311880636002,0.1500764894565707,0.3347708144423274,0.7361111111111112,4.9930555555555545,-4500.989732440643,0.005998901443816697,0.3611111111111111,0.8333333333333334,0.9236111111111112,0.39805663642215217
WST,DCSBM,144,0.9213558230963711,0.13494711652363078,0.15690324825567462,0.36787310835582543,0.6944444444444444,4.6875,-4429.882229868105,0.009263182674199625,0.7013888888888888,0.7777777777777778,0.7708333333333334,0.3416973403127656
WST,SST,144,0.828295893069775,0.17749741006267702,0.34302179337580124,0.838752491224504,0.3472222222222222,3.5625,-4632.768014661987,0.007670276208411802,0.04861111111111111,0.5,0.3541666666666667,0.329331590490595
WST,WST,144,0.9319467378085626,0.12998978278351486,0.1305448971744816,0.2951957648464233,0.7777777777777778,4.979166666666666,-4423.27033706665,0.005324074074074075,0.25,0.8611111111111112,0.9027777777777778,0.32616324920348966
