gen_model,kappa_mean,psi_mean,fit_model_clean,mean_vi,pr_KeqKstar,viol_partition_mean,viol_partition_lo,viol_partition_hi
SST,0.75,0.2,WST,0.36040991338316175,0.4166666666666667,0.4579559147979155,0.43211309045240615,0.487141218265493
SST,0.75,0.2,SST,0.4518236762123705,0.25,0.46905423783170175,0.43766845767429535,0.5011211742773485
SST,0.75,0.2,DC,0.472117038022073,0.25,0.48149300906441295,0.45906455879560243,0.507162534627611
SST,0.75,1.3,WST,0.25359519188799573,0.75,0.33671937095188625,0.3252790926408612,0.35601002322157543
SST,0.75,1.3,SST,0.36731613333187546,0.3333333333333333,0.322341954723784,0.3131356567091869,0.3342648528661915
SST,0.75,1.3,DC,0.3110112677843444,0.5833333333333334,0.33631488677179167,0.3272666817074558,0.34895939535001674
SST,1.5,0.2,WST,0.1534853018240404,0.5,0.4453164112156002,0.4362272737687001,0.45935828149605623
SST,1.5,0.2,SST,0.3354788978207513,0.3333333333333333,0.4545443005410859,0.448474144106527,0.46963550626967476
SST,1.5,0.2,DC,0.23180546544793332,0.3333333333333333,0.45873781360140276,0.4527182111863524,0.464103316653282
SST,1.5,1.3,WST,0.1239998193667081,0.75,0.33297603958029015,0.32225085628084293,0.3457843298093082
SST,1.5,1.3,SST,0.3564003033585213,0.16666666666666666,0.31504068314804257,0.3070837534562736,0.3230086591946665
SST,1.5,1.3,DC,0.20751396073082834,0.4166666666666667,0.3423053010157968,0.3396283899883626,0.34803856904531144
SST,3,0.2,WST,0.04940753824530527,0.8333333333333334,0.4546038127433195,0.45071261650027256,0.46450479555188984
SST,3,0.2,SST,0.4870367925917932,0.16666666666666666,0.4699134963977738,0.46276022317435855,0.4819202340503147
SST,3,0.2,DC,0.07758143798566344,0.5833333333333334,0.4743927713382375,0.4703983071868876,0.4753479518588284
SST,3,1.3,WST,0.08156450584479849,0.8333333333333334,0.3306773114832747,0.32772491608868426,0.3363533749368896
SST,3,1.3,SST,0.3719210621873069,0.16666666666666666,0.3270476928409286,0.32266159685703444,0.32903539694666784
SST,3,1.3,DC,0.08785291859577635,0.8333333333333334,0.3320102316626752,0.3311378792452304,0.33392472096222914
WST,0.75,0.2,WST,0.5223575046053117,0.16666666666666666,0.4176063673355641,0.3916434972210582,0.44869004125243683
WST,0.75,0.2,SST,0.6581786328917744,0.25,0.42464207268289283,0.38560402935923893,0.46978894755833595
WST,0.75,0.2,DC,0.5783394142576426,0.25,0.456408582905784,0.43479551746826683,0.475529410001497
WST,0.75,1.3,WST,0.1858412497746972,0.5,0.21830328531040374,0.2097968229586225,0.2375663865942649
WST,0.75,1.3,SST,0.218979358121786,0.5833333333333334,0.21314488057092043,0.20724227319368857,0.2200169985666325
WST,0.75,1.3,DC,0.19901686935875246,0.5,0.23473351132765333,0.21810927358651924,0.249522625713516
WST,1.5,0.2,WST,0.12347784367277541,0.5833333333333334,0.41265229545327886,0.4040229990337524,0.4250494237545314
WST,1.5,0.2,SST,0.38864483435624936,0.3333333333333333,0.42355694859804266,0.40748953492589807,0.43694895256408356
WST,1.5,0.2,DC,0.1508931724979776,0.5833333333333334,0.4339074540566065,0.4284178310135118,0.437755085186052
WST,1.5,1.3,WST,0.04460273338499862,0.9166666666666666,0.227450152204247,0.22475739918507942,0.23573527878381967
WST,1.5,1.3,SST,0.14283107859559702,0.4166666666666667,0.219270183818265,0.21684671684385826,0.22087622644241275
WST,1.5,1.3,DC,0.057878850786623706,0.9166666666666666,0.23599617550578317,0.22986158836381618,0.24097337145595626
WST,3,0.2,WST,0.14079367814455873,0.75,0.4220714714348311,0.41488538075693143,0.43491723246459224
WST,3,0.2,SST,0.5174759710710279,0.08333333333333333,0.4306268391228548,0.4280503760764952,0.4350968432759532
WST,3,0.2,DC,0.15384034919427356,0.5833333333333334,0.4409269864974923,0.4392460248784721,0.44207331699011926
WST,3,1.3,WST,0.003930659720219093,1,0.22731997513944324,0.2268496021062085,0.23144362217159384
WST,3,1.3,SST,0.15746311677204156,0.5,0.22842126703763316,0.22812956464865508,0.22877355210242142
WST,3,1.3,DC,0.012962962962963037,0.8333333333333334,0.23037615439363665,0.23031742240203049,0.23037970950276332
