"fit_model","K_hat","K_post_mean","ari","vi","looic","violation_rate","time_sec"
"WST",2,2.09,0.5621,2.7676,12628.42,0.467,559.4
"SST",2,2,0.6164,1.9349,12113.16,0.49,199.7
"DCSBM",6,6,1,0,10253.31,0.501,91.9
