Gen,$K^\star$,Density,Hierarchy,Reps,ELPD WST$-$SST mean (SD),Sig. WST/SST,ELPD WST$-$DC mean (SD),Sig. WST/DC,ELPD SST$-$DC mean (SD),Sig. SST/DC,mean VI W/S/DC
SST,8,kappa_0.25,app_sparse,1,-2.4 (--),0/0,28.1 (--),1/0,30.4 (--),1/0,1.234/1.352/2.308
WST,8,kappa_0.25,app_sparse,1,-22.1 (--),0/1,-42.9 (--),0/1,-20.8 (--),0/1,1.853/1.320/1.450
