Gen,$K^\star$,Density,Hierarchy,Model,Reps,ELPD mean (SD),$\Delta$ELPD mean (SD),Sig. loss,ELPD wins,mean VI,mean $\hat K$,mean PSIS $k>0.7$
SST,8,kappa_0.25,app_sparse,DC-SBM,1,-1771.7 (--),-30.4 (--),1/1,0/1,2.308,4.00,0.055
SST,8,kappa_0.25,app_sparse,WST,1,-1743.6 (--),-2.4 (--),0/1,0/1,1.234,7.00,0.010
SST,8,kappa_0.25,app_sparse,SST,1,-1741.2 (--),0.0 (--),0/1,1/1,1.352,6.00,0.014
WST,8,kappa_0.25,app_sparse,WST,1,-1685.9 (--),-42.9 (--),1/1,0/1,1.853,3.00,0.002
WST,8,kappa_0.25,app_sparse,SST,1,-1663.8 (--),-20.8 (--),1/1,0/1,1.320,4.00,0.017
WST,8,kappa_0.25,app_sparse,DC-SBM,1,-1643.0 (--),0.0 (--),0/1,1/1,1.450,4.00,0.094
