Gen,$K^\star$,Density,Hierarchy,Rep,ELPD WST$-$SST (SE),Sig. WST$-$SST,ELPD WST$-$DC (SE),Sig. WST$-$DC,ELPD SST$-$DC (SE),Sig. SST$-$DC,VI WST,VI SST,VI DC,$\hat K$ W/S/DC
SST,8,kappa_0.25,app_sparse,1,-2.4 (4.7),,28.1 (7.5),\checkmark,30.4 (7.7),\checkmark,1.234,1.352,2.308,7/6/4
WST,8,kappa_0.25,app_sparse,1,-22.1 (5.7),\checkmark,-42.9 (6.7),\checkmark,-20.8 (5.3),\checkmark,1.853,1.320,1.450,3/4/4
